cert_id,person_id,transition_id,cert_name,provider,hours,completion_date,is_industry_credential
64,611,1185,Certified Scrum Master,Google,21,2016-06-25,1
65,1285,2549,Microsoft Excel Expert,edX,73,2020-01-12,0
66,1285,2549,Udemy Python Bootcamp,Cisco,28,2021-10-31,0
67,1285,2549,Power BI Data Analyst,Cisco,53,2016-07-01,0
68,1042,2076,Udemy Python Bootcamp,Microsoft,75,2018-05-06,1
69,1042,2076,Microsoft Excel Expert,Google,27,2019-03-31,1
70,1042,2076,Google Data Analytics,Pluralsight,85,2016-06-05,1
71,221,449,Certified Scrum Master,Google,79,2020-08-27,0
72,221,449,PMI CAPM,Google,33,2021-01-23,0
73,221,449,AWS Certified Solutions Architect,LinkedIn Learning,66,2021-03-02,0
74,340,679,Certified Scrum Master,Google,52,2018-05-01,1
75,424,837,Udemy Python Bootcamp,Amazon,90,2015-12-02,0
76,424,837,Cisco CCNA,Microsoft,70,2016-01-26,0
77,424,837,CompTIA A+,Coursera,52,2020-06-15,0
78,429,847,Cisco CCNA,Pluralsight,63,2018-10-20,0
79,429,847,Microsoft Excel Expert,Coursera,75,2015-08-31,1
80,1106,2200,IBM Data Science Professional,Cisco,80,2018-03-25,0
81,77,158,AWS Certified Solutions Architect,Cisco,85,2016-01-01,1
82,77,158,AWS Certified Solutions Architect,Pluralsight,36,2020-03-24,0
83,77,158,Certified Scrum Master,IBM,12,2020-01-19,0
84,1392,2752,Power BI Data Analyst,Pluralsight,34,2015-03-05,1
85,1392,2752,PMI CAPM,edX,19,2022-08-26,0
86,1392,2752,Power BI Data Analyst,Google,78,2022-07-02,1
87,440,868,Power BI Data Analyst,Microsoft,42,2024-01-24,1
88,440,868,PMI CAPM,IBM,19,2016-06-30,0
89,440,868,AWS Certified Solutions Architect,Udemy,34,2016-09-12,1
90,1337,2642,Google Data Analytics,Pluralsight,68,2015-10-22,1
91,1337,2642,Cisco CCNA,Amazon,30,2021-12-05,0
92,865,1700,Tableau Desktop Specialist,Google,82,2021-02-18,0
93,865,1700,AWS Certified Solutions Architect,Amazon,71,2024-05-04,0
94,865,1700,IBM Data Science Professional,IBM,40,2020-02-27,1
95,1081,2151,PMI CAPM,Microsoft,82,2020-04-28,0
96,1081,2151,AWS Certified Solutions Architect,Google,35,2020-06-09,0
97,355,710,AWS Certified Solutions Architect,Udemy,44,2022-10-08,0
98,355,710,CompTIA A+,Cisco,78,2021-12-02,1
99,366,731,Google Data Analytics,Cisco,50,2022-05-09,0
100,310,621,Cisco CCNA,Amazon,46,2019-01-15,0
101,310,621,Certified Scrum Master,Cisco,22,2020-03-12,0
102,310,621,Google Data Analytics,Microsoft,40,2020-07-15,1
103,737,1438,AWS Certified Solutions Architect,LinkedIn Learning,65,2020-03-01,0
104,737,1438,PMI CAPM,IBM,44,2017-01-13,1
105,999,1980,Cisco CCNA,LinkedIn Learning,86,2024-07-01,1
106,999,1980,CompTIA A+,Coursera,11,2018-02-15,0
107,999,1980,Microsoft Excel Expert,Cisco,35,2016-09-02,1
108,622,1211,IBM Data Science Professional,Cisco,99,2017-05-28,1
109,544,1061,IBM Data Science Professional,Google,81,2021-12-01,1
110,544,1061,IBM Data Science Professional,LinkedIn Learning,97,2019-07-17,1
111,1141,2265,PMI CAPM,Microsoft,97,2020-10-21,1
112,1141,2265,Microsoft Excel Expert,Coursera,39,2017-08-06,0
113,1141,2265,Udemy Python Bootcamp,Coursera,19,2015-12-09,1
114,1297,2567,Cisco CCNA,IBM,66,2022-02-03,1
115,555,1077,Tableau Desktop Specialist,Google,32,2020-03-21,1
116,555,1077,Udemy Python Bootcamp,Pluralsight,8,2016-05-24,1
117,555,1077,Tableau Desktop Specialist,LinkedIn Learning,17,2016-10-01,0
118,680,1327,CompTIA A+,IBM,55,2015-05-23,0
119,680,1327,CompTIA A+,edX,52,2022-02-18,1
120,680,1327,Udemy Python Bootcamp,Google,43,2016-10-12,1
121,50,104,Microsoft Excel Expert,Pluralsight,98,2021-07-04,1
122,50,104,Power BI Data Analyst,IBM,62,2021-06-22,0
123,50,104,CompTIA A+,Coursera,88,2016-08-02,1
124,491,970,Power BI Data Analyst,IBM,29,2015-04-18,0
125,491,970,PMI CAPM,Cisco,15,2016-01-01,1
126,317,634,Udemy Python Bootcamp,IBM,52,2023-12-16,0
127,905,1783,PMI CAPM,IBM,52,2017-04-02,1
128,637,1241,IBM Data Science Professional,Google,85,2017-09-21,1
129,637,1241,IBM Data Science Professional,Udemy,34,2019-04-03,1
130,561,1087,CompTIA A+,Cisco,23,2017-04-12,0
131,561,1087,CompTIA A+,Microsoft,57,2017-02-06,1
132,561,1087,Microsoft Excel Expert,Pluralsight,38,2021-11-18,0
133,487,960,Microsoft Excel Expert,Coursera,85,2024-02-10,1
134,487,960,Udemy Python Bootcamp,LinkedIn Learning,10,2017-05-28,1
135,487,960,Cisco CCNA,Amazon,17,2022-02-06,0
136,68,140,Udemy Python Bootcamp,Udemy,90,2023-07-26,1
137,68,140,Udemy Python Bootcamp,Coursera,79,2017-02-21,0
138,68,140,Cisco CCNA,Cisco,68,2017-08-02,0
139,812,1594,PMI CAPM,edX,49,2016-06-04,0
140,812,1594,Microsoft Excel Expert,Udemy,49,2023-06-30,1
141,812,1594,Tableau Desktop Specialist,Coursera,89,2021-01-20,0
142,494,977,CompTIA A+,IBM,98,2021-11-03,1
143,311,623,IBM Data Science Professional,Google,51,2017-11-25,0
144,311,623,Certified Scrum Master,Udemy,50,2021-06-25,0
145,311,623,Certified Scrum Master,Amazon,33,2024-09-02,1
146,1097,2182,Certified Scrum Master,Microsoft,88,2021-06-28,0
147,1097,2182,Power BI Data Analyst,Google,65,2017-06-26,0
148,1097,2182,Tableau Desktop Specialist,IBM,69,2015-07-09,1
149,1248,2477,Tableau Desktop Specialist,IBM,99,2024-01-01,0
150,1248,2477,Microsoft Excel Expert,edX,55,2018-04-17,0
151,1248,2477,Microsoft Excel Expert,Pluralsight,67,2019-08-11,1
152,185,372,AWS Certified Solutions Architect,Pluralsight,26,2023-06-13,1
153,185,372,PMI CAPM,Google,75,2024-09-30,0
154,185,372,PMI CAPM,Udemy,37,2016-06-20,1
155,307,616,Power BI Data Analyst,Google,48,2015-01-25,1
156,307,616,Google Data Analytics,edX,11,2015-03-11,0
157,307,616,Google Data Analytics,Amazon,95,2020-11-15,0
158,853,1674,Tableau Desktop Specialist,LinkedIn Learning,21,2024-09-03,0
159,853,1674,CompTIA A+,Pluralsight,69,2018-12-02,1
160,793,1555,PMI CAPM,Pluralsight,34,2017-05-14,1
161,793,1555,CompTIA A+,LinkedIn Learning,90,2020-12-25,0
162,290,582,IBM Data Science Professional,IBM,30,2023-05-17,0
163,707,1378,Udemy Python Bootcamp,edX,67,2017-03-15,1
164,707,1378,Udemy Python Bootcamp,Coursera,79,2017-04-04,1
165,707,1378,Power BI Data Analyst,Coursera,75,2024-05-18,1
166,1330,2631,AWS Certified Solutions Architect,edX,65,2022-10-03,0
167,655,1272,IBM Data Science Professional,Udemy,35,2015-11-02,0
168,523,1028,CompTIA A+,Pluralsight,71,2018-06-04,1
169,523,1028,CompTIA A+,Cisco,55,2017-09-08,1
170,462,907,Udemy Python Bootcamp,Coursera,38,2017-06-24,1
171,462,907,Power BI Data Analyst,Google,63,2015-07-09,1
172,931,1834,PMI CAPM,Google,60,2015-10-17,0
173,1035,2061,CompTIA A+,Udemy,68,2022-11-18,1
174,30,69,Google Data Analytics,Microsoft,23,2019-07-20,1
175,241,491,IBM Data Science Professional,IBM,89,2024-07-04,1
176,799,1569,Microsoft Excel Expert,edX,78,2020-10-11,1
177,799,1569,CompTIA A+,Udemy,57,2023-05-24,0
178,818,1604,Udemy Python Bootcamp,Amazon,97,2017-03-11,0
179,818,1604,Google Data Analytics,Cisco,67,2019-04-28,0
180,818,1604,Microsoft Excel Expert,Amazon,66,2018-04-04,1
181,66,134,CompTIA A+,IBM,81,2024-06-19,0
182,66,134,Certified Scrum Master,edX,23,2022-11-17,0
183,66,134,Google Data Analytics,IBM,79,2017-01-28,1
184,602,1170,Power BI Data Analyst,Coursera,10,2017-06-18,1
185,602,1170,AWS Certified Solutions Architect,Microsoft,33,2020-12-12,0
186,925,1821,Udemy Python Bootcamp,Microsoft,55,2016-07-03,0
187,755,1475,Power BI Data Analyst,LinkedIn Learning,45,2020-01-09,0
188,927,1826,Google Data Analytics,Udemy,34,2020-09-10,0
189,927,1826,Tableau Desktop Specialist,Pluralsight,66,2018-03-03,0
190,1102,2192,CompTIA A+,IBM,54,2015-10-05,1
191,1102,2192,Certified Scrum Master,LinkedIn Learning,86,2020-08-19,1
192,1102,2192,Certified Scrum Master,LinkedIn Learning,56,2023-09-15,0
193,248,502,Udemy Python Bootcamp,Udemy,66,2015-05-24,0
194,278,559,PMI CAPM,Amazon,84,2017-07-05,0
195,278,559,AWS Certified Solutions Architect,Coursera,58,2023-10-12,1
196,1403,2774,Google Data Analytics,Microsoft,9,2021-10-17,0
197,1403,2774,Certified Scrum Master,edX,13,2015-04-10,1
198,1403,2774,Google Data Analytics,Coursera,38,2021-06-19,0
199,1067,2125,IBM Data Science Professional,Udemy,40,2015-09-30,1
200,1067,2125,Cisco CCNA,Pluralsight,99,2019-11-25,0
201,480,946,Google Data Analytics,Google,88,2024-05-25,1
202,427,844,IBM Data Science Professional,Google,87,2015-06-28,1
203,124,258,Certified Scrum Master,Cisco,71,2017-12-14,0
204,124,258,Google Data Analytics,Amazon,34,2018-02-04,0
205,124,258,Certified Scrum Master,edX,73,2019-06-17,0
206,1170,2322,Certified Scrum Master,Amazon,74,2015-03-21,0
207,1170,2322,Tableau Desktop Specialist,Pluralsight,7,2022-02-13,1
208,395,783,Power BI Data Analyst,Cisco,46,2021-02-06,1
209,986,1951,Tableau Desktop Specialist,Microsoft,58,2020-02-10,1
210,716,1395,PMI CAPM,Amazon,42,2023-02-12,0
211,716,1395,Udemy Python Bootcamp,Amazon,48,2019-06-26,1
212,716,1395,Cisco CCNA,edX,86,2022-09-04,1
213,1135,2257,Certified Scrum Master,Google,51,2021-10-16,1
214,1135,2257,Microsoft Excel Expert,Microsoft,33,2020-10-20,1
215,1135,2257,Tableau Desktop Specialist,Microsoft,55,2015-09-16,1
216,1085,2157,Google Data Analytics,Microsoft,90,2024-11-10,0
217,498,985,CompTIA A+,Google,52,2015-05-25,1
218,45,95,Cisco CCNA,Coursera,26,2019-05-18,1
219,60,126,Certified Scrum Master,IBM,21,2016-06-02,1
220,60,126,Certified Scrum Master,Cisco,90,2023-07-21,1
221,60,126,Certified Scrum Master,Amazon,9,2024-12-10,0
222,1162,2308,IBM Data Science Professional,edX,93,2023-08-05,1
223,24,55,AWS Certified Solutions Architect,Amazon,57,2020-08-15,1
224,24,55,AWS Certified Solutions Architect,Microsoft,85,2022-05-31,0
225,875,1722,Power BI Data Analyst,Udemy,21,2021-09-02,1
226,875,1722,AWS Certified Solutions Architect,Cisco,63,2019-06-02,1
227,875,1722,Google Data Analytics,Google,43,2018-06-23,1
228,482,949,IBM Data Science Professional,Cisco,52,2015-08-08,0
229,482,949,Microsoft Excel Expert,LinkedIn Learning,41,2016-08-05,1
230,1325,2622,Tableau Desktop Specialist,Microsoft,82,2021-08-13,1
231,1325,2622,Udemy Python Bootcamp,LinkedIn Learning,81,2020-08-07,0
232,1325,2622,Cisco CCNA,IBM,31,2021-01-11,0
233,746,1459,Certified Scrum Master,Pluralsight,76,2022-05-04,0
234,746,1459,IBM Data Science Professional,Google,67,2017-04-15,0
235,746,1459,Power BI Data Analyst,Pluralsight,56,2018-10-02,0
236,232,470,Google Data Analytics,LinkedIn Learning,25,2023-10-05,0
237,232,470,PMI CAPM,Cisco,61,2024-07-04,1
238,232,470,IBM Data Science Professional,Coursera,79,2023-05-17,1
239,125,259,AWS Certified Solutions Architect,Microsoft,95,2024-01-12,0
240,125,259,IBM Data Science Professional,Amazon,46,2023-08-27,1
241,125,259,AWS Certified Solutions Architect,Google,52,2023-09-07,0
242,428,845,Cisco CCNA,Microsoft,76,2022-07-14,0
243,428,845,Google Data Analytics,Microsoft,37,2021-06-24,1
244,428,845,Google Data Analytics,Pluralsight,80,2020-11-29,0
245,819,1605,CompTIA A+,Cisco,20,2022-03-29,1
246,819,1605,Cisco CCNA,IBM,40,2019-01-16,1
247,819,1605,Cisco CCNA,edX,70,2016-04-05,1
248,169,340,AWS Certified Solutions Architect,Coursera,60,2018-07-04,1
249,169,340,AWS Certified Solutions Architect,LinkedIn Learning,21,2021-08-16,0
250,169,340,PMI CAPM,Coursera,24,2015-11-23,0
251,116,243,Google Data Analytics,LinkedIn Learning,98,2022-02-02,1
252,1089,2165,Google Data Analytics,edX,88,2017-03-06,0
253,1089,2165,Power BI Data Analyst,Coursera,12,2017-05-07,0
254,987,1955,Udemy Python Bootcamp,Pluralsight,22,2015-05-24,1
255,987,1955,Certified Scrum Master,Udemy,22,2016-07-01,0
256,1396,2762,AWS Certified Solutions Architect,Coursera,6,2016-08-30,0
257,1425,2820,Power BI Data Analyst,IBM,76,2018-04-17,1
258,1425,2820,Tableau Desktop Specialist,Microsoft,55,2024-06-16,1
259,416,817,Microsoft Excel Expert,IBM,79,2021-07-02,1
260,416,817,Power BI Data Analyst,IBM,18,2015-02-26,1
261,142,291,Tableau Desktop Specialist,Pluralsight,51,2019-10-03,0
262,142,291,Power BI Data Analyst,edX,34,2023-03-15,1
263,1234,2453,Udemy Python Bootcamp,IBM,46,2019-09-18,1
264,1234,2453,Udemy Python Bootcamp,edX,8,2022-08-10,0
265,1234,2453,Tableau Desktop Specialist,LinkedIn Learning,15,2016-05-09,1
266,1294,2564,AWS Certified Solutions Architect,Google,90,2024-10-27,0
267,1294,2564,Cisco CCNA,Pluralsight,71,2015-04-06,0
268,763,1494,AWS Certified Solutions Architect,Udemy,6,2018-08-24,0
269,1207,2393,PMI CAPM,Udemy,73,2023-08-29,1
270,463,911,CompTIA A+,IBM,68,2015-04-14,1
271,463,911,CompTIA A+,Cisco,72,2018-07-12,0
272,463,911,Udemy Python Bootcamp,Amazon,47,2020-08-08,0
273,1244,2469,Power BI Data Analyst,Microsoft,66,2017-01-23,0
274,1244,2469,Cisco CCNA,Pluralsight,90,2019-05-12,0
275,79,162,IBM Data Science Professional,Pluralsight,77,2023-11-12,1
276,1005,1993,Tableau Desktop Specialist,Pluralsight,16,2024-12-25,0
277,1005,1993,IBM Data Science Professional,Coursera,5,2020-06-27,0
278,1491,2959,IBM Data Science Professional,Amazon,68,2019-03-08,0
279,572,1111,Google Data Analytics,Google,72,2024-07-12,1
280,572,1111,Tableau Desktop Specialist,Pluralsight,18,2017-11-12,1
281,572,1111,Google Data Analytics,IBM,97,2024-09-08,1
282,16,34,Certified Scrum Master,Pluralsight,13,2019-12-07,1
283,16,34,Microsoft Excel Expert,Google,77,2020-03-29,0
284,495,979,PMI CAPM,LinkedIn Learning,53,2016-04-01,0
285,495,979,AWS Certified Solutions Architect,LinkedIn Learning,21,2017-01-28,0
286,351,701,AWS Certified Solutions Architect,Cisco,72,2019-06-02,1
287,1000,1982,Udemy Python Bootcamp,Amazon,7,2022-10-26,1
288,275,556,Certified Scrum Master,LinkedIn Learning,29,2024-08-01,0
289,1192,2363,PMI CAPM,Amazon,16,2015-10-24,0
290,272,549,Udemy Python Bootcamp,Udemy,5,2021-02-25,0
291,272,549,Udemy Python Bootcamp,Microsoft,5,2018-12-21,0
292,1474,2920,Tableau Desktop Specialist,Cisco,50,2020-03-26,0
293,238,484,Certified Scrum Master,edX,14,2022-06-30,1
294,238,484,Tableau Desktop Specialist,edX,19,2017-03-07,1
295,238,484,PMI CAPM,Microsoft,44,2024-07-16,0
296,586,1135,Power BI Data Analyst,Google,60,2019-01-27,1
297,586,1135,IBM Data Science Professional,edX,50,2021-02-05,1
298,586,1135,IBM Data Science Professional,LinkedIn Learning,49,2016-07-31,0
299,1313,2599,Tableau Desktop Specialist,Microsoft,17,2021-12-15,1
300,1313,2599,PMI CAPM,Cisco,31,2023-01-25,1
301,1313,2599,Cisco CCNA,Pluralsight,85,2018-08-29,1
302,695,1357,Tableau Desktop Specialist,edX,65,2015-12-16,0
303,695,1357,Cisco CCNA,LinkedIn Learning,17,2024-08-08,1
304,1002,1987,IBM Data Science Professional,Pluralsight,89,2020-08-21,1
305,323,645,AWS Certified Solutions Architect,Pluralsight,12,2018-10-05,1
306,323,645,AWS Certified Solutions Architect,Microsoft,28,2017-02-22,0
307,323,645,Cisco CCNA,Google,79,2021-09-13,0
308,783,1535,Power BI Data Analyst,edX,37,2023-05-25,0
309,783,1535,CompTIA A+,Microsoft,46,2015-02-18,1
310,783,1535,PMI CAPM,Cisco,19,2024-06-20,1
311,1359,2685,Cisco CCNA,Google,36,2019-05-09,1
312,1204,2386,Power BI Data Analyst,Cisco,98,2023-09-08,1
313,1204,2386,Cisco CCNA,Pluralsight,41,2023-10-18,0
314,1204,2386,Microsoft Excel Expert,Pluralsight,23,2021-11-15,0
315,971,1919,PMI CAPM,edX,38,2023-12-30,0
316,971,1919,CompTIA A+,Coursera,75,2022-01-15,1
317,971,1919,PMI CAPM,Amazon,64,2020-08-23,0
318,1467,2902,Power BI Data Analyst,LinkedIn Learning,88,2021-06-19,0
319,527,1034,CompTIA A+,Udemy,16,2017-07-16,0
320,1426,2821,Certified Scrum Master,Pluralsight,70,2017-11-02,1
321,1426,2821,Tableau Desktop Specialist,Microsoft,90,2021-04-02,0
322,1171,2325,Udemy Python Bootcamp,Google,52,2024-02-06,1
323,176,353,AWS Certified Solutions Architect,Google,99,2018-02-27,1
324,176,353,IBM Data Science Professional,Amazon,72,2017-09-14,0
325,359,715,Microsoft Excel Expert,Coursera,21,2023-12-10,1
326,359,715,Google Data Analytics,Amazon,87,2017-10-20,1
327,359,715,PMI CAPM,Pluralsight,59,2024-02-16,0
328,44,94,Microsoft Excel Expert,LinkedIn Learning,74,2015-01-11,1
329,44,94,Google Data Analytics,edX,64,2016-11-19,0
330,417,819,Udemy Python Bootcamp,Pluralsight,81,2023-12-19,0
331,417,819,Microsoft Excel Expert,Coursera,77,2018-09-18,0
332,417,819,Cisco CCNA,edX,39,2017-08-16,1
333,345,689,IBM Data Science Professional,Amazon,20,2019-03-06,0
334,345,689,Tableau Desktop Specialist,Pluralsight,86,2021-05-09,1
335,1027,2047,CompTIA A+,Udemy,42,2018-07-26,0
336,1027,2047,AWS Certified Solutions Architect,edX,47,2015-09-17,0
337,1402,2773,IBM Data Science Professional,Coursera,91,2022-06-07,1
338,1402,2773,IBM Data Science Professional,edX,91,2023-09-04,1
339,1402,2773,IBM Data Science Professional,Coursera,50,2023-10-01,1
340,102,215,AWS Certified Solutions Architect,Google,22,2020-10-31,1
341,108,226,PMI CAPM,Cisco,44,2022-04-07,1
342,108,226,IBM Data Science Professional,Amazon,92,2024-02-08,1
343,108,226,Microsoft Excel Expert,Google,82,2020-01-26,1
344,1490,2957,Tableau Desktop Specialist,LinkedIn Learning,9,2022-03-09,0
345,1490,2957,Certified Scrum Master,Cisco,58,2023-04-02,0
346,1053,2096,Certified Scrum Master,LinkedIn Learning,90,2021-12-19,0
347,965,1910,CompTIA A+,IBM,26,2023-06-05,0
348,965,1910,Power BI Data Analyst,IBM,78,2023-07-19,1
349,381,759,PMI CAPM,IBM,83,2015-04-25,1
350,381,759,Certified Scrum Master,Cisco,42,2021-10-16,0
351,245,498,IBM Data Science Professional,Pluralsight,53,2019-09-27,1
352,1100,2187,Power BI Data Analyst,edX,82,2020-07-05,0
353,501,990,AWS Certified Solutions Architect,Udemy,32,2024-05-20,0
354,501,990,PMI CAPM,Cisco,39,2018-09-21,1
355,501,990,AWS Certified Solutions Architect,edX,64,2023-02-28,0
356,701,1368,Certified Scrum Master,Coursera,66,2019-07-29,0
357,701,1368,CompTIA A+,Amazon,91,2019-10-11,1
358,701,1368,Tableau Desktop Specialist,edX,50,2024-10-10,1
359,129,267,Cisco CCNA,Cisco,86,2020-07-15,1
360,129,267,Certified Scrum Master,Amazon,83,2024-10-11,1
361,129,267,Certified Scrum Master,Microsoft,65,2023-01-30,0
362,240,489,Cisco CCNA,Amazon,93,2020-09-10,0
363,1115,2218,Certified Scrum Master,Coursera,39,2017-06-29,1
364,1115,2218,Cisco CCNA,Cisco,61,2016-05-08,0
365,683,1331,Cisco CCNA,LinkedIn Learning,67,2018-12-06,0
366,683,1331,CompTIA A+,edX,8,2021-01-29,0
367,683,1331,Microsoft Excel Expert,Pluralsight,83,2018-05-31,1
368,483,951,Cisco CCNA,Udemy,49,2016-05-19,1
369,483,951,CompTIA A+,edX,43,2023-02-15,0
370,1306,2588,Certified Scrum Master,Microsoft,69,2020-06-26,1
371,1306,2588,Udemy Python Bootcamp,Coursera,26,2020-11-11,0
372,276,557,Power BI Data Analyst,Udemy,41,2020-08-11,1
373,276,557,IBM Data Science Professional,Google,94,2017-09-12,1
374,276,557,Microsoft Excel Expert,Coursera,55,2023-07-23,0
375,583,1131,Microsoft Excel Expert,edX,62,2023-04-24,0
376,583,1131,IBM Data Science Professional,Google,81,2019-09-02,1
377,583,1131,Google Data Analytics,Pluralsight,11,2024-02-22,0
378,204,409,Google Data Analytics,edX,55,2022-10-12,1
379,204,409,Power BI Data Analyst,Google,27,2019-09-14,1
380,33,76,IBM Data Science Professional,IBM,95,2016-06-24,0
381,33,76,PMI CAPM,Microsoft,13,2016-02-04,1
382,1320,2615,Google Data Analytics,Pluralsight,42,2019-12-15,0
383,1320,2615,AWS Certified Solutions Architect,Amazon,17,2023-12-16,1
384,814,1597,Power BI Data Analyst,IBM,15,2021-07-25,1
385,814,1597,Udemy Python Bootcamp,Pluralsight,78,2017-08-30,1
386,814,1597,Udemy Python Bootcamp,Microsoft,54,2022-04-16,0
387,998,1979,Power BI Data Analyst,Amazon,71,2022-07-20,0
388,998,1979,Tableau Desktop Specialist,Pluralsight,45,2020-07-01,1
389,998,1979,Udemy Python Bootcamp,Amazon,33,2017-01-17,1
390,382,761,Microsoft Excel Expert,edX,60,2017-01-02,0
391,1074,2139,Certified Scrum Master,Pluralsight,84,2023-05-22,1
392,1349,2665,IBM Data Science Professional,Microsoft,75,2022-03-22,1
393,1349,2665,Google Data Analytics,Coursera,83,2019-05-18,1
394,579,1124,Microsoft Excel Expert,IBM,10,2020-09-10,1
395,579,1124,Power BI Data Analyst,IBM,22,2018-10-24,1
396,888,1751,CompTIA A+,Pluralsight,55,2019-07-25,0
397,888,1751,Cisco CCNA,Amazon,70,2021-11-29,0
398,888,1751,Udemy Python Bootcamp,Cisco,7,2021-01-18,1
399,1326,2623,Google Data Analytics,LinkedIn Learning,93,2020-05-31,0
400,1326,2623,Google Data Analytics,Udemy,58,2016-03-23,0
401,1327,2626,AWS Certified Solutions Architect,Udemy,32,2021-02-03,1
402,942,1856,CompTIA A+,edX,32,2022-06-01,0
403,942,1856,Microsoft Excel Expert,Google,36,2020-04-14,1
404,164,330,Power BI Data Analyst,Cisco,45,2016-11-24,0
405,164,330,Google Data Analytics,Cisco,40,2021-11-11,0
406,164,330,AWS Certified Solutions Architect,Google,40,2022-06-30,0
407,910,1793,Cisco CCNA,Pluralsight,91,2024-01-03,0
408,910,1793,Power BI Data Analyst,Amazon,70,2022-04-05,1
409,910,1793,Google Data Analytics,edX,14,2019-01-16,1
410,298,596,Certified Scrum Master,Cisco,76,2015-02-19,1
411,298,596,AWS Certified Solutions Architect,Google,83,2015-11-06,1
