reason_id,person_id,transition_id,reason_type,reason_comment
51,622,1209,Flexible schedule,Needed part-time or flexible working hours.
52,622,1209,Career growth,Felt stuck in the same position for too long.
53,1484,2944,Relocation,Relocation forced a change in career.
54,1484,2944,Remote work opportunity,Old job required daily commuting.
55,1484,2944,Flexible schedule,Wanted better control over my time.
56,107,224,Relocation,Moved to a new city and needed a job switch.
57,1027,2047,Desire for stability,Old industry was unpredictable.
58,451,885,Relocation,Relocated due to family reasons.
59,461,905,Relocation,Relocated due to family reasons.
60,461,905,Career growth,Felt stuck in the same position for too long.
61,461,905,Job dissatisfaction,Felt unmotivated in my previous role.
62,325,649,Desire for stability,Old industry was unpredictable.
63,537,1051,Flexible schedule,Wanted better control over my time.
64,1420,2810,Better salary,Old job didn't pay enough to cover living costs.
65,1420,2810,Remote work opportunity,"New role allows remote work, which I prefer."
66,1275,2532,Industry decline,Old industry was shrinking with few jobs.
67,1275,2532,Better salary,Wanted to earn more to support my family.
68,1275,2532,Relocation,Relocated due to family reasons.
69,401,792,Career growth,Felt stuck in the same position for too long.
70,401,792,Flexible schedule,Wanted better control over my time.
71,471,926,Flexible schedule,Old job didn't offer schedule flexibility.
72,894,1761,Relocation,Moved to a new city and needed a job switch.
73,894,1761,Industry decline,Needed to move to a growing sector.
74,894,1761,N/A,Switched to something I'm genuinely excited about.
75,752,1470,Desire for stability,Seeking consistent income and benefits.
76,752,1470,Job dissatisfaction,didn't enjoy the work I was doing.
77,752,1470,Pursuing passion,Wanted to follow my true interests.
78,123,254,Better salary,Old job didn't pay enough to cover living costs.
79,123,254,Flexible schedule,Old job didn't offer schedule flexibility.
80,1498,2970,Career growth,No opportunities to move up in the company.
81,1498,2970,Remote work opportunity,"New role allows remote work, which I prefer."
82,227,459,Desire for stability,Wanted a more secure job long-term.
83,227,459,Better salary,Wanted to earn more to support my family.
84,227,459,Remote work opportunity,"New role allows remote work, which I prefer."
85,645,1254,Flexible schedule,Wanted better control over my time.
86,645,1254,Work-life balance,Burned out from constant overtime.
87,645,1254,Pursuing passion,Previous job wasn't aligned with my goals.
88,393,779,Laid off,Position was eliminated unexpectedly.
89,393,779,Desire for stability,Seeking consistent income and benefits.
90,639,1243,Pursuing passion,Previous job wasn't aligned with my goals.
91,911,1795,Better salary,Needed better compensation for my skills.
92,911,1795,Pursuing passion,Previous job wasn't aligned with my goals.
93,911,1795,Industry decline,Needed to move to a growing sector.
94,244,495,Remote work opportunity,"New role allows remote work, which I prefer."
95,181,362,Desire for stability,Seeking consistent income and benefits.
96,181,362,Industry decline,Needed to move to a growing sector.
97,469,923,Work-life balance,Needed more time for family and health.
98,469,923,Pursuing passion,Previous job wasn't aligned with my goals.
99,469,923,Better salary,Needed better compensation for my skills.
100,1419,2809,Career growth,Wanted to pursue a leadership role.
101,1419,2809,Flexible schedule,Wanted better control over my time.
102,1011,2006,Remote work opportunity,Wanted to work from home for better flexibility.
103,1011,2006,Job dissatisfaction,Company culture wasn't a good fit.
104,1011,2006,Relocation,Moved to a new city and needed a job switch.
105,452,887,Laid off,Company downsized and I lost my job.
106,452,887,Desire for stability,Seeking consistent income and benefits.
107,452,887,Relocation,Relocated due to family reasons.
108,1232,2448,Burnout,Job was emotionally draining.
109,1232,2448,Flexible schedule,Needed part-time or flexible working hours.
110,418,823,Desire for stability,Wanted a more secure job long-term.
111,418,823,Remote work opportunity,Wanted to work from home for better flexibility.
112,132,273,Remote work opportunity,Old job required daily commuting.
113,155,316,Industry decline,Needed to move to a growing sector.
114,155,316,Laid off,Company downsized and I lost my job.
115,455,893,Flexible schedule,Wanted better control over my time.
116,455,893,Job dissatisfaction,didn't enjoy the work I was doing.
117,371,738,Relocation,Moved to a new city and needed a job switch.
118,16,34,Laid off,Position was eliminated unexpectedly.
119,16,34,Desire for stability,Seeking consistent income and benefits.
120,991,1964,Work-life balance,Needed more time for family and health.
121,197,394,Burnout,Job was emotionally draining.
122,1071,2133,Relocation,N/A
123,1071,2133,Laid off,Company downsized and I lost my job.
124,448,881,Better salary,Wanted to earn more to support my family.
125,382,761,Burnout,Too much stress in the previous role.
126,901,1772,Work-life balance,Current job had long hours with no flexibility.
127,1150,2283,Laid off,Got laid off and had to start over.
128,1150,2283,Flexible schedule,Wanted better control over my time.
129,1291,2559,Laid off,Company downsized and I lost my job.
130,1291,2559,Remote work opportunity,Old job required daily commuting.
131,1387,2742,Burnout,Mentally exhausted from constant pressure.
132,832,1629,Laid off,Company downsized and I lost my job.
133,832,1629,Career growth,Felt stuck in the same position for too long.
134,344,687,Flexible schedule,Wanted better control over my time.
135,344,687,Relocation,Relocation forced a change in career.
136,344,687,Remote work opportunity,Wanted to work from home for better flexibility.
137,545,1062,Better salary,Needed better compensation for my skills.
138,291,585,Flexible schedule,Needed part-time or flexible working hours.
139,291,585,Career growth,No opportunities to move up in the company.
140,291,585,Laid off,Position was eliminated unexpectedly.
141,618,1204,Career growth,No opportunities to move up in the company.
142,618,1204,Burnout,Too much stress in the previous role.
143,137,281,Pursuing passion,Switched to something I'm genuinely excited about.
144,137,281,Laid off,Position was eliminated unexpectedly.
145,137,281,Remote work opportunity,Old job required daily commuting.
146,1121,2225,Flexible schedule,Wanted better control over my time.
147,1121,2225,Work-life balance,Current job had long hours with no flexibility.
148,1303,2583,Laid off,Company downsized and I lost my job.
149,1303,2583,Career growth,Wanted to pursue a leadership role.
150,1395,2761,Desire for stability,Old industry was unpredictable.
151,727,1419,Remote work opportunity,Old job required daily commuting.
152,727,1419,Flexible schedule,Wanted better control over my time.
153,727,1419,N/A,didn't enjoy the work I was doing.
154,428,845,Remote work opportunity,"New role allows remote work, which I prefer."
155,629,1225,Career growth,No opportunities to move up in the company.
156,629,1225,Pursuing passion,Wanted to follow my true interests.
157,629,1225,Desire for stability,Seeking consistent income and benefits.
158,88,185,Better salary,Wanted to earn more to support my family.
159,88,185,Career growth,Wanted to pursue a leadership role.
160,1214,2408,Desire for stability,Wanted a more secure job long-term.
161,1214,2408,Work-life balance,Needed more time for family and health.
162,419,824,Relocation,Relocated due to family reasons.
163,716,1395,Burnout,Too much stress in the previous role.
164,716,1395,Industry decline,Old industry was shrinking with few jobs.
165,716,1395,Career growth,Felt stuck in the same position for too long.
166,1273,2529,Job dissatisfaction,Company culture wasn't a good fit.
167,1273,2529,Work-life balance,Current job had long hours with no flexibility.
168,1273,2529,Pursuing passion,Previous job wasn't aligned with my goals.
169,355,710,Flexible schedule,Needed part-time or flexible working hours.
170,355,710,Remote work opportunity,Old job required daily commuting.
171,566,1097,Career growth,No opportunities to move up in the company.
172,547,1065,Industry decline,Needed to move to a growing sector.
173,547,1065,Flexible schedule,Wanted better control over my time.
174,299,599,Laid off,Position was eliminated unexpectedly.
175,299,599,Career growth,Wanted to pursue a leadership role.
176,1490,2956,Better salary,Wanted to earn more to support my family.
177,1349,2664,Work-life balance,Burned out from constant overtime.
178,1349,2664,Job dissatisfaction,Felt unmotivated in my previous role.
179,1349,2664,Desire for stability,Wanted a more secure job long-term.
180,548,1068,Burnout,Mentally exhausted from constant pressure.
181,548,1068,Relocation,Relocated due to family reasons.
182,548,1068,Industry decline,Needed to move to a growing sector.
183,239,486,Desire for stability,Wanted a more secure job long-term.
184,239,486,Burnout,Too much stress in the previous role.
185,1399,2768,Laid off,N/A
186,1399,2768,Desire for stability,Seeking consistent income and benefits.
187,1399,2768,Job dissatisfaction,didn't enjoy the work I was doing.
188,203,407,Pursuing passion,Wanted to follow my true interests.
189,1410,2792,Pursuing passion,Wanted to follow my true interests.
190,1410,2792,Industry decline,Needed to move to a growing sector.
191,1410,2792,Work-life balance,Current job had long hours with no flexibility.
192,927,1827,Pursuing passion,Previous job wasn't aligned with my goals.
193,927,1827,Desire for stability,Wanted a more secure job long-term.
194,927,1827,Relocation,Relocated due to family reasons.
195,284,573,Laid off,Position was eliminated unexpectedly.
196,284,573,Desire for stability,Seeking consistent income and benefits.
197,860,1687,Remote work opportunity,Wanted to work from home for better flexibility.
198,860,1687,Relocation,Relocation forced a change in career.
199,860,1687,Flexible schedule,Wanted better control over my time.
200,595,1151,Work-life balance,Burned out from constant overtime.
201,454,891,Industry decline,Old industry was shrinking with few jobs.
202,454,891,Laid off,Got laid off and had to start over.
203,794,1557,Remote work opportunity,"New role allows remote work, which I prefer."
204,290,583,Work-life balance,Burned out from constant overtime.
205,290,583,Career growth,Wanted to pursue a leadership role.
206,290,583,Better salary,Needed better compensation for my skills.
207,966,1911,Burnout,Too much stress in the previous role.
208,966,1911,Pursuing passion,Switched to something I'm genuinely excited about.
209,966,1911,Career growth,Wanted to pursue a leadership role.
210,129,265,Remote work opportunity,Old job required daily commuting.
211,129,265,Burnout,Job was emotionally draining.
212,306,614,Remote work opportunity,"New role allows remote work, which I prefer."
213,797,1566,Career growth,Wanted to pursue a leadership role.
214,797,1566,Laid off,Got laid off and had to start over.
215,797,1566,Pursuing passion,Previous job wasn't aligned with my goals.
216,179,360,Work-life balance,Needed more time for family and health.
217,179,360,Relocation,Moved to a new city and needed a job switch.
218,179,360,Industry decline,Needed to move to a growing sector.
219,1475,2922,Work-life balance,Current job had long hours with no flexibility.
220,1475,2922,Flexible schedule,Old job didn't offer schedule flexibility.
221,27,60,Work-life balance,Current job had long hours with no flexibility.
222,27,60,Laid off,Got laid off and had to start over.
223,27,60,Pursuing passion,Previous job wasn't aligned with my goals.
224,1258,2497,Desire for stability,Seeking consistent income and benefits.
225,1258,2497,Flexible schedule,Wanted better control over my time.
226,1258,2497,Work-life balance,Current job had long hours with no flexibility.
227,784,1536,Better salary,Wanted to earn more to support my family.
228,784,1536,Work-life balance,Burned out from constant overtime.
229,784,1536,Relocation,Relocated due to family reasons.
230,734,1432,Industry decline,Saw layoffs and instability in my field.
231,549,1069,Desire for stability,Seeking consistent income and benefits.
232,442,871,Flexible schedule,Old job didn't offer schedule flexibility.
233,597,1156,Better salary,Needed better compensation for my skills.
234,597,1156,Pursuing passion,Previous job wasn't aligned with my goals.
235,597,1156,Remote work opportunity,Wanted to work from home for better flexibility.
236,215,434,Career growth,Felt stuck in the same position for too long.
237,215,434,Pursuing passion,Switched to something I'm genuinely excited about.
238,704,1373,Flexible schedule,Needed part-time or flexible working hours.
239,704,1373,Remote work opportunity,Wanted to work from home for better flexibility.
240,1061,2111,Better salary,Needed better compensation for my skills.
241,1061,2111,Work-life balance,Current job had long hours with no flexibility.
242,654,1270,Better salary,Wanted to earn more to support my family.
243,192,382,Career growth,No opportunities to move up in the company.
244,1251,2481,Pursuing passion,Switched to something I'm genuinely excited about.
245,941,1855,Pursuing passion,Wanted to follow my true interests.
246,1067,2125,Pursuing passion,Previous job wasn't aligned with my goals.
247,1067,2125,Job dissatisfaction,didn't enjoy the work I was doing.
248,1067,2125,Burnout,Job was emotionally draining.
249,893,1760,Remote work opportunity,Old job required daily commuting.
250,893,1760,Flexible schedule,Wanted better control over my time.
251,1274,2530,N/A,N/A
252,1274,2530,Work-life balance,Needed more time for family and health.
253,851,1669,Desire for stability,Wanted a more secure job long-term.
254,146,297,Better salary,Old job didn't pay enough to cover living costs.
255,146,297,Pursuing passion,Switched to something I'm genuinely excited about.
256,501,990,Relocation,Relocated due to family reasons.
257,501,990,Desire for stability,Seeking consistent income and benefits.
258,334,666,Flexible schedule,Needed part-time or flexible working hours.
259,1283,2546,Industry decline,Needed to move to a growing sector.
260,998,1979,Desire for stability,Old industry was unpredictable.
261,1467,2901,Career growth,No opportunities to move up in the company.
262,391,774,Better salary,Needed better compensation for my skills.
263,391,774,Burnout,Job was emotionally draining.
264,391,774,Industry decline,Needed to move to a growing sector.
265,1041,2074,Burnout,Job was emotionally draining.
266,1041,2074,Work-life balance,Needed more time for family and health.
267,70,142,Job dissatisfaction,didn't enjoy the work I was doing.
268,70,142,Flexible schedule,Wanted better control over my time.
269,70,142,Relocation,Moved to a new city and needed a job switch.
270,392,775,Burnout,Too much stress in the previous role.
271,392,775,Career growth,Wanted to pursue a leadership role.
272,1172,2326,Burnout,Job was emotionally draining.
273,1172,2326,Remote work opportunity,"New role allows remote work, which I prefer."
274,1172,2326,Better salary,Old job didn't pay enough to cover living costs.
275,1447,2862,Work-life balance,Current job had long hours with no flexibility.
276,486,956,Career growth,No opportunities to move up in the company.
277,486,956,Work-life balance,Burned out from constant overtime.
278,486,956,Burnout,Mentally exhausted from constant pressure.
279,660,1286,Work-life balance,Burned out from constant overtime.
280,1257,2494,Relocation,Relocation forced a change in career.
281,1377,2720,Job dissatisfaction,Felt unmotivated in my previous role.
282,1377,2720,Desire for stability,Seeking consistent income and benefits.
283,1377,2720,Work-life balance,Current job had long hours with no flexibility.
284,888,1752,Job dissatisfaction,Felt unmotivated in my previous role.
285,888,1752,Flexible schedule,Old job didn't offer schedule flexibility.
286,957,1891,Industry decline,Needed to move to a growing sector.
287,957,1891,Flexible schedule,Old job didn't offer schedule flexibility.
288,957,1891,Relocation,Relocated due to family reasons.
289,1211,2404,Industry decline,Needed to move to a growing sector.
290,877,1728,Better salary,Needed better compensation for my skills.
291,259,522,Career growth,Wanted to pursue a leadership role.
292,259,522,Relocation,Relocation forced a change in career.
293,427,844,Remote work opportunity,Wanted to work from home for better flexibility.
294,427,844,Career growth,No opportunities to move up in the company.
295,1208,2395,Burnout,Mentally exhausted from constant pressure.
296,1208,2395,Laid off,Company downsized and I lost my job.
297,669,1306,Relocation,Moved to a new city and needed a job switch.
298,73,148,N/A,Job was emotionally draining.
299,73,148,Career growth,Felt stuck in the same position for too long.
300,73,148,Remote work opportunity,Old job required daily commuting.
301,113,236,Better salary,Needed better compensation for my skills.
302,113,236,Work-life balance,Needed more time for family and health.
303,384,764,Job dissatisfaction,didn't enjoy the work I was doing.
304,679,1325,Flexible schedule,Wanted better control over my time.
305,679,1325,Pursuing passion,Previous job wasn't aligned with my goals.
306,679,1325,Remote work opportunity,Old job required daily commuting.
307,1382,2733,Flexible schedule,Wanted better control over my time.
308,1382,2733,Industry decline,Needed to move to a growing sector.
309,1239,2462,Burnout,Mentally exhausted from constant pressure.
310,1239,2462,Career growth,Wanted to pursue a leadership role.
311,1239,2462,Pursuing passion,Previous job wasn't aligned with my goals.
312,312,625,Remote work opportunity,Old job required daily commuting.
313,312,625,Better salary,Wanted to earn more to support my family.
314,312,625,Laid off,Got laid off and had to start over.
315,1260,2501,Desire for stability,Wanted a more secure job long-term.
316,961,1899,Burnout,Job was emotionally draining.
317,843,1652,Desire for stability,Old industry was unpredictable.
318,642,1249,Better salary,Old job didn't pay enough to cover living costs.
319,642,1249,Flexible schedule,Old job didn't offer schedule flexibility.
320,642,1249,Work-life balance,Needed more time for family and health.
321,24,55,Relocation,Moved to a new city and needed a job switch.
322,24,55,Pursuing passion,Switched to something I'm genuinely excited about.
323,1195,2368,Job dissatisfaction,Company culture wasn't a good fit.
324,1195,2368,Burnout,Too much stress in the previous role.
325,1197,2372,Industry decline,Old industry was shrinking with few jobs.
326,1197,2372,Flexible schedule,Old job didn't offer schedule flexibility.
327,852,1672,Laid off,Got laid off and had to start over.
328,262,530,Career growth,Wanted to pursue a leadership role.
329,262,530,Flexible schedule,Wanted better control over my time.
330,49,101,Industry decline,Needed to move to a growing sector.
331,49,101,Career growth,No opportunities to move up in the company.
332,285,575,Flexible schedule,Old job didn't offer schedule flexibility.
333,837,1640,Job dissatisfaction,didn't enjoy the work I was doing.
334,837,1640,Pursuing passion,Switched to something I'm genuinely excited about.
335,1334,2637,Relocation,Relocated due to family reasons.
336,1334,2637,Industry decline,Needed to move to a growing sector.
337,327,653,Pursuing passion,Previous job wasn't aligned with my goals.
338,327,653,Remote work opportunity,Wanted to work from home for better flexibility.
339,655,1273,Job dissatisfaction,Company culture wasn't a good fit.
340,655,1273,Flexible schedule,Wanted better control over my time.
341,655,1273,Career growth,Wanted to pursue a leadership role.
342,30,68,Remote work opportunity,"New role allows remote work, which I prefer."
343,30,68,Industry decline,Saw layoffs and instability in my field.
344,30,68,Burnout,Too much stress in the previous role.
345,234,475,Remote work opportunity,"New role allows remote work, which I prefer."
346,520,1024,Desire for stability,Old industry was unpredictable.
347,369,736,Desire for stability,Old industry was unpredictable.
348,369,736,Burnout,Job was emotionally draining.
349,369,736,Relocation,Moved to a new city and needed a job switch.
350,128,264,Relocation,Relocation forced a change in career.
351,1135,2256,Burnout,Mentally exhausted from constant pressure.
352,1254,2490,Better salary,Old job didn't pay enough to cover living costs.
353,1254,2490,Pursuing passion,Previous job wasn't aligned with my goals.
354,870,1712,Remote work opportunity,Wanted to work from home for better flexibility.
355,611,1185,Better salary,Wanted to earn more to support my family.
356,229,465,Job dissatisfaction,didn't enjoy the work I was doing.
357,229,465,Career growth,No opportunities to move up in the company.
358,926,1823,Burnout,Mentally exhausted from constant pressure.
359,926,1823,Work-life balance,Burned out from constant overtime.
360,621,1208,Career growth,Wanted to pursue a leadership role.
361,621,1208,Desire for stability,Seeking consistent income and benefits.
362,621,1208,Work-life balance,Burned out from constant overtime.
363,731,1429,Industry decline,Saw layoffs and instability in my field.
364,613,1193,Work-life balance,Current job had long hours with no flexibility.
365,613,1193,Pursuing passion,Switched to something I'm genuinely excited about.
366,1267,2517,Remote work opportunity,Old job required daily commuting.
367,1096,2181,Remote work opportunity,Wanted to work from home for better flexibility.
368,204,409,Burnout,Mentally exhausted from constant pressure.
369,204,409,Pursuing passion,Switched to something I'm genuinely excited about.
370,204,409,Laid off,Got laid off and had to start over.
371,1350,2666,Desire for stability,Wanted a more secure job long-term.
372,1350,2666,Industry decline,Needed to move to a growing sector.
373,1350,2666,Pursuing passion,Switched to something I'm genuinely excited about.
374,924,1818,Burnout,Job was emotionally draining.
375,924,1818,Pursuing passion,Previous job wasn't aligned with my goals.
376,924,1818,Work-life balance,Current job had long hours with no flexibility.
377,219,444,Better salary,Wanted to earn more to support my family.
378,219,444,Work-life balance,Needed more time for family and health.
379,219,444,Desire for stability,Wanted a more secure job long-term.
380,190,378,Industry decline,Saw layoffs and instability in my field.
381,190,378,Pursuing passion,Wanted to follow my true interests.
382,190,378,Relocation,Relocated due to family reasons.
383,379,753,Industry decline,Old industry was shrinking with few jobs.
384,379,753,Remote work opportunity,N/A
385,1147,2273,Desire for stability,Seeking consistent income and benefits.
386,1147,2273,Career growth,Felt stuck in the same position for too long.
387,1147,2273,Pursuing passion,Switched to something I'm genuinely excited about.
388,1362,2689,Relocation,Relocated due to family reasons.
389,1362,2689,Industry decline,Old industry was shrinking with few jobs.
390,637,1241,Work-life balance,Current job had long hours with no flexibility.
391,637,1241,Remote work opportunity,Old job required daily commuting.
392,637,1241,Better salary,Wanted to earn more to support my family.
393,1034,2058,Career growth,Felt stuck in the same position for too long.
394,1034,2058,Relocation,Relocated due to family reasons.
395,836,1637,Work-life balance,Current job had long hours with no flexibility.
396,528,1037,Flexible schedule,Wanted better control over my time.
397,528,1037,Better salary,Needed better compensation for my skills.
398,528,1037,Industry decline,Old industry was shrinking with few jobs.
399,1127,2239,Relocation,Relocation forced a change in career.
400,1127,2239,Industry decline,Old industry was shrinking with few jobs.
401,1311,2595,Laid off,Got laid off and had to start over.
402,1311,2595,Flexible schedule,Wanted better control over my time.
403,1311,2595,Pursuing passion,Switched to something I'm genuinely excited about.
404,115,241,Job dissatisfaction,didn't enjoy the work I was doing.
405,115,241,Industry decline,Needed to move to a growing sector.
406,1483,2942,Career growth,Wanted to pursue a leadership role.
407,1483,2942,Flexible schedule,Needed part-time or flexible working hours.
408,35,78,Desire for stability,Seeking consistent income and benefits.
409,35,78,Work-life balance,Burned out from constant overtime.
410,35,78,Better salary,Needed better compensation for my skills.
411,1488,2952,Industry decline,Saw layoffs and instability in my field.
412,1488,2952,Better salary,Wanted to earn more to support my family.
413,582,1128,Work-life balance,Current job had long hours with no flexibility.
414,1259,2498,Career growth,Wanted to pursue a leadership role.
415,1259,2498,Remote work opportunity,"New role allows remote work, which I prefer."
416,1259,2498,Flexible schedule,Old job didn't offer schedule flexibility.
417,1080,2148,Relocation,Relocated due to family reasons.
418,1200,2378,Relocation,Relocation forced a change in career.
419,1200,2378,Work-life balance,Needed more time for family and health.
420,853,1673,Remote work opportunity,"New role allows remote work, which I prefer."
421,853,1673,Laid off,Got laid off and had to start over.
422,947,1868,Career growth,Felt stuck in the same position for too long.
423,947,1868,Pursuing passion,Wanted to follow my true interests.
424,947,1868,Job dissatisfaction,Felt unmotivated in my previous role.
425,1014,2014,Burnout,Too much stress in the previous role.
426,638,1242,Job dissatisfaction,Felt unmotivated in my previous role.
427,1184,2347,Burnout,Too much stress in the previous role.
428,1184,2347,Flexible schedule,Needed part-time or flexible working hours.
429,1184,2347,Work-life balance,Burned out from constant overtime.
430,777,1520,Pursuing passion,Previous job wasn't aligned with my goals.
431,598,1161,Remote work opportunity,Wanted to work from home for better flexibility.
432,598,1161,Laid off,Position was eliminated unexpectedly.
433,598,1161,Relocation,Relocated due to family reasons.
434,37,82,Pursuing passion,Previous job wasn't aligned with my goals.
435,37,82,Work-life balance,Needed more time for family and health.
436,37,82,Laid off,Company downsized and I lost my job.
437,912,1797,Burnout,Job was emotionally draining.
438,912,1797,Industry decline,Needed to move to a growing sector.
439,324,647,Desire for stability,Old industry was unpredictable.
440,324,647,Laid off,Company downsized and I lost my job.
441,680,1328,Laid off,Company downsized and I lost my job.
442,1489,2954,Career growth,No opportunities to move up in the company.
443,1489,2954,Flexible schedule,Wanted better control over my time.
444,1489,2954,Job dissatisfaction,didn't enjoy the work I was doing.
445,975,1929,Desire for stability,Wanted a more secure job long-term.
446,975,1929,Relocation,Relocation forced a change in career.
447,975,1929,Work-life balance,Current job had long hours with no flexibility.
448,314,627,Work-life balance,Needed more time for family and health.
449,314,627,Flexible schedule,Old job didn't offer schedule flexibility.
450,314,627,Job dissatisfaction,didn't enjoy the work I was doing.
451,1066,2124,Pursuing passion,Wanted to follow my true interests.
452,1066,2124,Flexible schedule,Old job didn't offer schedule flexibility.
453,1066,2124,N/A,Position was eliminated unexpectedly.
454,1358,2683,Desire for stability,Old industry was unpredictable.
455,1358,2683,Work-life balance,Needed more time for family and health.
456,773,1513,Laid off,Got laid off and had to start over.
457,693,1352,Better salary,Wanted to earn more to support my family.
458,693,1352,Pursuing passion,Previous job wasn't aligned with my goals.
459,191,380,Industry decline,Needed to move to a growing sector.
460,191,380,Career growth,Wanted to pursue a leadership role.
461,191,380,Flexible schedule,Old job didn't offer schedule flexibility.
462,1441,2853,Desire for stability,Old industry was unpredictable.
463,1357,2681,Burnout,Job was emotionally draining.
464,100,211,Job dissatisfaction,Company culture wasn't a good fit.
465,100,211,Desire for stability,Old industry was unpredictable.
466,100,211,Relocation,Moved to a new city and needed a job switch.
467,616,1198,Career growth,No opportunities to move up in the company.
468,616,1198,Pursuing passion,Previous job wasn't aligned with my goals.
469,616,1198,Industry decline,Saw layoffs and instability in my field.
470,503,993,Pursuing passion,Previous job wasn't aligned with my goals.
471,503,993,Burnout,Mentally exhausted from constant pressure.
472,141,288,Better salary,Old job didn't pay enough to cover living costs.
473,141,288,Work-life balance,Needed more time for family and health.
474,525,1030,Pursuing passion,Previous job wasn't aligned with my goals.
475,525,1030,Flexible schedule,Wanted better control over my time.
476,525,1030,Career growth,No opportunities to move up in the company.
477,607,1179,Job dissatisfaction,Felt unmotivated in my previous role.
478,607,1179,Burnout,Too much stress in the previous role.
479,607,1179,Desire for stability,Seeking consistent income and benefits.
480,523,1028,Burnout,Mentally exhausted from constant pressure.
481,523,1028,Better salary,Wanted to earn more to support my family.
482,135,276,Remote work opportunity,"New role allows remote work, which I prefer."
483,1093,2172,Job dissatisfaction,didn't enjoy the work I was doing.
484,405,798,Pursuing passion,Switched to something I'm genuinely excited about.
485,746,1460,Remote work opportunity,Wanted to work from home for better flexibility.
486,746,1460,Industry decline,Saw layoffs and instability in my field.
487,822,1611,Career growth,Wanted to pursue a leadership role.
488,822,1611,Flexible schedule,Needed part-time or flexible working hours.
489,822,1611,Relocation,Relocated due to family reasons.
490,478,943,Industry decline,Needed to move to a growing sector.
491,1160,2303,Work-life balance,Needed more time for family and health.
492,1160,2303,Flexible schedule,Wanted better control over my time.
493,1160,2303,Industry decline,Old industry was shrinking with few jobs.
494,735,1435,Career growth,Wanted to pursue a leadership role.
495,735,1435,Burnout,Mentally exhausted from constant pressure.
496,1316,2604,Work-life balance,Burned out from constant overtime.
497,1316,2604,Remote work opportunity,Old job required daily commuting.
498,711,1386,Desire for stability,Seeking consistent income and benefits.
499,711,1386,Burnout,Too much stress in the previous role.
500,711,1386,Work-life balance,Needed more time for family and health.
501,498,985,Work-life balance,Burned out from constant overtime.
502,498,985,Flexible schedule,Needed part-time or flexible working hours.
503,498,985,Desire for stability,Old industry was unpredictable.
504,476,939,Laid off,Position was eliminated unexpectedly.
505,476,939,Pursuing passion,Switched to something I'm genuinely excited about.
506,476,939,Career growth,Felt stuck in the same position for too long.
507,1227,2439,Industry decline,Saw layoffs and instability in my field.
508,1227,2439,Career growth,Felt stuck in the same position for too long.
509,1227,2439,Burnout,Job was emotionally draining.
