sat_id,person_id,transition_id,sat_before,sat_after,sat_delta,notes
36,36,81,2,2,0,Change made little difference in overall happiness.
37,37,82,4,6,2,Feels more fulfilled and motivated after switching.
38,38,83,9,7,-2,Struggles with job satisfaction after the transition.
39,39,84,4,7,3,Feels more fulfilled and motivated after switching.
40,40,87,9,10,1,Slight improvement in work-life balance and satisfaction.
41,41,89,2,1,-1,Feels unsure about the new role and its demands.
42,42,91,1,2,1,Slight improvement in work-life balance and satisfaction.
43,43,92,8,9,1,Slight improvement in work-life balance and satisfaction.
44,44,94,8,10,2,Feels more fulfilled and motivated after switching.
45,45,95,9,10,1,Slight improvement in work-life balance and satisfaction.
46,46,96,4,6,2,Feels more fulfilled and motivated after switching.
47,47,99,4,6,2,Feels more fulfilled and motivated after switching.
48,48,100,2,4,2,Feels more fulfilled and motivated after switching.
49,49,101,10,8,-2,Struggles with job satisfaction after the transition.
50,50,102,7,10,3,Feels more fulfilled and motivated after switching.
51,51,106,6,5,-1,Feels unsure about the new role and its demands.
52,52,108,10,10,0,Change made little difference in overall happiness.
53,53,109,10,10,0,Change made little difference in overall happiness.
54,54,112,9,10,1,Slight improvement in work-life balance and satisfaction.
55,55,116,5,8,3,Feels more fulfilled and motivated after switching.
56,56,117,1,3,2,Feels more fulfilled and motivated after switching.
57,57,120,6,5,-1,Feels unsure about the new role and its demands.
58,58,124,2,5,3,Feels more fulfilled and motivated after switching.
59,59,125,4,6,2,Feels more fulfilled and motivated after switching.
60,60,128,3,5,2,Feels more fulfilled and motivated after switching.
61,61,129,4,5,1,Slight improvement in work-life balance and satisfaction.
62,62,130,10,10,0,Change made little difference in overall happiness.
63,63,131,2,2,0,Change made little difference in overall happiness.
64,64,132,10,8,-2,Struggles with job satisfaction after the transition.
65,65,133,7,5,-2,Struggles with job satisfaction after the transition.
66,66,134,2,2,0,Change made little difference in overall happiness.
67,67,135,5,8,3,Feels more fulfilled and motivated after switching.
68,68,140,8,9,1,Slight improvement in work-life balance and satisfaction.
69,69,141,2,2,0,Change made little difference in overall happiness.
70,70,142,8,10,2,Feels more fulfilled and motivated after switching.
71,71,144,5,5,0,Change made little difference in overall happiness.
72,72,147,5,3,-2,Struggles with job satisfaction after the transition.
73,73,148,6,8,2,Feels more fulfilled and motivated after switching.
74,74,150,9,10,1,Slight improvement in work-life balance and satisfaction.
75,75,153,10,8,-2,Struggles with job satisfaction after the transition.
76,76,155,6,6,0,Change made little difference in overall happiness.
77,77,158,6,4,-2,Struggles with job satisfaction after the transition.
78,78,160,6,9,3,Feels more fulfilled and motivated after switching.
79,79,162,6,9,3,Feels more fulfilled and motivated after switching.
80,80,165,7,7,0,Change made little difference in overall happiness.
81,81,167,10,10,0,Change made little difference in overall happiness.
82,82,169,4,6,2,Feels more fulfilled and motivated after switching.
83,83,172,8,9,1,Slight improvement in work-life balance and satisfaction.
84,84,173,7,5,-2,Struggles with job satisfaction after the transition.
85,85,177,9,8,-1,Feels unsure about the new role and its demands.
86,86,178,9,8,-1,Feels unsure about the new role and its demands.
87,87,183,10,10,0,Change made little difference in overall happiness.
88,88,185,10,8,-2,Struggles with job satisfaction after the transition.
89,89,186,3,6,3,Feels more fulfilled and motivated after switching.
90,90,188,5,7,2,Feels more fulfilled and motivated after switching.
91,91,191,9,10,1,Slight improvement in work-life balance and satisfaction.
92,92,192,3,2,-1,Feels unsure about the new role and its demands.
93,93,194,9,8,-1,Feels unsure about the new role and its demands.
94,94,198,4,4,0,Change made little difference in overall happiness.
95,95,201,5,3,-2,Struggles with job satisfaction after the transition.
96,96,203,5,4,-1,Feels unsure about the new role and its demands.
97,97,204,2,3,1,Slight improvement in work-life balance and satisfaction.
98,98,206,8,7,-1,Feels unsure about the new role and its demands.
99,99,210,10,10,0,Change made little difference in overall happiness.
100,100,211,1,1,0,Change made little difference in overall happiness.
101,101,213,10,10,0,Change made little difference in overall happiness.
102,102,214,1,1,0,Change made little difference in overall happiness.
103,103,216,6,9,3,Feels more fulfilled and motivated after switching.
104,104,217,5,8,3,Feels more fulfilled and motivated after switching.
105,105,218,5,7,2,Feels more fulfilled and motivated after switching.
106,106,221,4,6,2,Feels more fulfilled and motivated after switching.
107,107,222,9,10,1,Slight improvement in work-life balance and satisfaction.
108,108,226,4,3,-1,Feels unsure about the new role and its demands.
109,109,228,2,1,-1,Feels unsure about the new role and its demands.
110,110,230,7,8,1,Slight improvement in work-life balance and satisfaction.
111,111,232,4,2,-2,Struggles with job satisfaction after the transition.
112,112,233,4,7,3,Feels more fulfilled and motivated after switching.
113,113,235,2,3,1,Slight improvement in work-life balance and satisfaction.
114,114,239,7,9,2,Feels more fulfilled and motivated after switching.
115,115,242,9,8,-1,Feels unsure about the new role and its demands.
116,116,243,8,10,2,Feels more fulfilled and motivated after switching.
117,117,244,6,5,-1,Feels unsure about the new role and its demands.
118,118,246,1,3,2,Feels more fulfilled and motivated after switching.
119,119,248,9,7,-2,Struggles with job satisfaction after the transition.
120,120,249,2,3,1,Slight improvement in work-life balance and satisfaction.
121,121,251,1,1,0,Change made little difference in overall happiness.
122,122,253,7,6,-1,Feels unsure about the new role and its demands.
123,123,256,4,5,1,Slight improvement in work-life balance and satisfaction.
124,124,258,2,1,-1,Feels unsure about the new role and its demands.
125,125,259,7,10,3,Feels more fulfilled and motivated after switching.
126,126,260,2,5,3,Feels more fulfilled and motivated after switching.
127,127,263,4,5,1,Slight improvement in work-life balance and satisfaction.
128,128,264,3,4,1,Slight improvement in work-life balance and satisfaction.
129,129,267,3,3,0,Change made little difference in overall happiness.
130,130,268,4,2,-2,Struggles with job satisfaction after the transition.
131,131,270,1,3,2,Feels more fulfilled and motivated after switching.
132,132,271,3,1,-2,Struggles with job satisfaction after the transition.
133,133,274,5,4,-1,Feels unsure about the new role and its demands.
134,134,275,3,1,-2,Struggles with job satisfaction after the transition.
135,135,276,1,4,3,Feels more fulfilled and motivated after switching.
136,136,279,9,10,1,Slight improvement in work-life balance and satisfaction.
137,137,281,5,8,3,Feels more fulfilled and motivated after switching.
138,138,282,2,2,0,Change made little difference in overall happiness.
139,139,284,1,2,1,Slight improvement in work-life balance and satisfaction.
140,140,285,3,4,1,Slight improvement in work-life balance and satisfaction.
141,141,288,5,3,-2,Struggles with job satisfaction after the transition.
142,142,289,9,8,-1,Feels unsure about the new role and its demands.
143,143,292,1,4,3,Feels more fulfilled and motivated after switching.
144,144,293,2,2,0,Change made little difference in overall happiness.
145,145,295,3,5,2,Feels more fulfilled and motivated after switching.
146,146,297,9,9,0,Change made little difference in overall happiness.
147,147,298,6,7,1,Slight improvement in work-life balance and satisfaction.
148,148,299,8,9,1,Slight improvement in work-life balance and satisfaction.
149,149,302,1,2,1,Slight improvement in work-life balance and satisfaction.
150,150,303,7,5,-2,Struggles with job satisfaction after the transition.
151,151,305,1,1,0,Change made little difference in overall happiness.
152,152,306,4,5,1,Slight improvement in work-life balance and satisfaction.
153,153,310,8,8,0,Change made little difference in overall happiness.
154,154,312,2,2,0,Change made little difference in overall happiness.
155,155,316,9,10,1,Slight improvement in work-life balance and satisfaction.
156,156,317,8,10,2,Feels more fulfilled and motivated after switching.
157,157,320,1,1,0,Change made little difference in overall happiness.
158,158,322,10,10,0,Change made little difference in overall happiness.
159,159,324,7,8,1,Slight improvement in work-life balance and satisfaction.
160,160,325,7,9,2,Feels more fulfilled and motivated after switching.
161,161,327,10,10,0,Change made little difference in overall happiness.
162,162,328,9,8,-1,Feels unsure about the new role and its demands.
163,163,329,4,7,3,Feels more fulfilled and motivated after switching.
164,164,330,5,3,-2,Struggles with job satisfaction after the transition.
165,165,332,9,7,-2,Struggles with job satisfaction after the transition.
166,166,335,3,4,1,Slight improvement in work-life balance and satisfaction.
167,167,337,4,3,-1,Feels unsure about the new role and its demands.
168,168,338,8,10,2,Feels more fulfilled and motivated after switching.
169,169,340,2,3,1,Slight improvement in work-life balance and satisfaction.
170,170,341,1,1,0,Change made little difference in overall happiness.
171,171,345,4,4,0,Change made little difference in overall happiness.
172,172,346,5,3,-2,Struggles with job satisfaction after the transition.
173,173,349,4,3,-1,Feels unsure about the new role and its demands.
174,174,351,4,6,2,Feels more fulfilled and motivated after switching.
175,175,352,3,6,3,Feels more fulfilled and motivated after switching.
176,176,353,6,7,1,Slight improvement in work-life balance and satisfaction.
177,177,354,2,4,2,Feels more fulfilled and motivated after switching.
178,178,358,4,6,2,Feels more fulfilled and motivated after switching.
179,179,359,9,10,1,Slight improvement in work-life balance and satisfaction.
180,180,361,7,10,3,Feels more fulfilled and motivated after switching.
181,181,363,8,6,-2,Struggles with job satisfaction after the transition.
182,182,365,5,4,-1,Feels unsure about the new role and its demands.
183,183,368,10,8,-2,Struggles with job satisfaction after the transition.
184,184,370,2,4,2,Feels more fulfilled and motivated after switching.
185,185,372,5,8,3,Feels more fulfilled and motivated after switching.
186,186,373,4,3,-1,Feels unsure about the new role and its demands.
187,187,374,3,3,0,Change made little difference in overall happiness.
188,188,376,5,4,-1,Feels unsure about the new role and its demands.
189,189,377,3,3,0,Change made little difference in overall happiness.
190,190,378,5,8,3,Feels more fulfilled and motivated after switching.
191,191,380,3,5,2,Feels more fulfilled and motivated after switching.
192,192,382,9,9,0,Change made little difference in overall happiness.
193,193,385,10,10,0,Change made little difference in overall happiness.
194,194,386,3,3,0,Change made little difference in overall happiness.
195,195,390,6,8,2,Feels more fulfilled and motivated after switching.
196,196,391,3,1,-2,Struggles with job satisfaction after the transition.
197,197,394,2,4,2,Feels more fulfilled and motivated after switching.
198,198,397,3,6,3,Feels more fulfilled and motivated after switching.
199,199,398,10,10,0,Change made little difference in overall happiness.
200,200,401,5,7,2,Feels more fulfilled and motivated after switching.
201,201,402,4,2,-2,Struggles with job satisfaction after the transition.
202,202,406,6,8,2,Feels more fulfilled and motivated after switching.
203,203,407,8,10,2,Feels more fulfilled and motivated after switching.
204,204,410,9,8,-1,Feels unsure about the new role and its demands.
205,205,411,8,8,0,Change made little difference in overall happiness.
206,206,414,7,9,2,Feels more fulfilled and motivated after switching.
207,207,415,9,10,1,Slight improvement in work-life balance and satisfaction.
208,208,418,5,5,0,Change made little difference in overall happiness.
209,209,423,8,9,1,Slight improvement in work-life balance and satisfaction.
210,210,425,1,1,0,Change made little difference in overall happiness.
211,211,428,6,5,-1,Feels unsure about the new role and its demands.
212,212,430,2,2,0,Change made little difference in overall happiness.
213,213,431,4,4,0,Change made little difference in overall happiness.
214,214,433,9,9,0,Change made little difference in overall happiness.
215,215,434,8,10,2,Feels more fulfilled and motivated after switching.
216,216,438,7,5,-2,Struggles with job satisfaction after the transition.
217,217,440,8,6,-2,Struggles with job satisfaction after the transition.
218,218,443,8,7,-1,Feels unsure about the new role and its demands.
219,219,445,10,8,-2,Struggles with job satisfaction after the transition.
220,220,447,7,9,2,Feels more fulfilled and motivated after switching.
221,221,449,9,10,1,Slight improvement in work-life balance and satisfaction.
222,222,452,5,4,-1,Feels unsure about the new role and its demands.
223,223,453,8,6,-2,Struggles with job satisfaction after the transition.
224,224,455,7,8,1,Slight improvement in work-life balance and satisfaction.
225,225,457,5,8,3,Feels more fulfilled and motivated after switching.
226,226,458,4,2,-2,Struggles with job satisfaction after the transition.
227,227,459,6,6,0,Change made little difference in overall happiness.
228,228,463,7,9,2,Feels more fulfilled and motivated after switching.
229,229,465,7,5,-2,Struggles with job satisfaction after the transition.
230,230,467,1,3,2,Feels more fulfilled and motivated after switching.
231,231,468,8,10,2,Feels more fulfilled and motivated after switching.
232,232,471,3,5,2,Feels more fulfilled and motivated after switching.
233,233,472,1,1,0,Change made little difference in overall happiness.
234,234,475,4,6,2,Feels more fulfilled and motivated after switching.
235,235,480,3,6,3,Feels more fulfilled and motivated after switching.
236,236,482,2,3,1,Slight improvement in work-life balance and satisfaction.
237,237,483,7,7,0,Change made little difference in overall happiness.
238,238,484,5,5,0,Change made little difference in overall happiness.
239,239,486,10,10,0,Change made little difference in overall happiness.
240,240,487,3,2,-1,Feels unsure about the new role and its demands.
241,241,490,10,10,0,Change made little difference in overall happiness.
242,242,493,10,10,0,Change made little difference in overall happiness.
243,243,494,3,5,2,Feels more fulfilled and motivated after switching.
244,244,495,9,7,-2,Struggles with job satisfaction after the transition.
245,245,497,3,5,2,Feels more fulfilled and motivated after switching.
246,246,499,1,1,0,Change made little difference in overall happiness.
247,247,501,4,5,1,Slight improvement in work-life balance and satisfaction.
248,248,502,8,8,0,Change made little difference in overall happiness.
249,249,503,4,4,0,Change made little difference in overall happiness.
250,250,504,10,10,0,Change made little difference in overall happiness.
251,251,507,3,5,2,Feels more fulfilled and motivated after switching.
252,252,508,6,8,2,Feels more fulfilled and motivated after switching.
253,253,512,5,6,1,Slight improvement in work-life balance and satisfaction.
254,254,513,5,8,3,Feels more fulfilled and motivated after switching.
255,255,515,9,10,1,Slight improvement in work-life balance and satisfaction.
256,256,516,10,10,0,Change made little difference in overall happiness.
257,257,518,1,2,1,Slight improvement in work-life balance and satisfaction.
258,258,519,7,10,3,Feels more fulfilled and motivated after switching.
259,259,522,3,6,3,Feels more fulfilled and motivated after switching.
260,260,524,2,5,3,Feels more fulfilled and motivated after switching.
261,261,527,7,5,-2,Struggles with job satisfaction after the transition.
262,262,530,2,1,-1,Feels unsure about the new role and its demands.
263,263,531,9,8,-1,Feels unsure about the new role and its demands.
264,264,533,5,6,1,Slight improvement in work-life balance and satisfaction.
265,265,535,2,1,-1,Feels unsure about the new role and its demands.
266,266,536,10,10,0,Change made little difference in overall happiness.
267,267,538,8,7,-1,Feels unsure about the new role and its demands.
268,268,539,2,2,0,Change made little difference in overall happiness.
269,269,541,3,3,0,Change made little difference in overall happiness.
270,270,542,10,10,0,Change made little difference in overall happiness.
271,271,545,1,2,1,Slight improvement in work-life balance and satisfaction.
272,272,548,3,5,2,Feels more fulfilled and motivated after switching.
273,273,550,6,9,3,Feels more fulfilled and motivated after switching.
274,274,555,1,2,1,Slight improvement in work-life balance and satisfaction.
275,275,556,9,10,1,Slight improvement in work-life balance and satisfaction.
276,276,557,3,1,-2,Struggles with job satisfaction after the transition.
277,277,558,9,8,-1,Feels unsure about the new role and its demands.
278,278,559,10,10,0,Change made little difference in overall happiness.
279,279,563,6,7,1,Slight improvement in work-life balance and satisfaction.
280,280,564,3,3,0,Change made little difference in overall happiness.
281,281,567,6,9,3,Feels more fulfilled and motivated after switching.
282,282,570,2,4,2,Feels more fulfilled and motivated after switching.
283,283,572,1,4,3,Feels more fulfilled and motivated after switching.
284,284,574,1,1,0,Change made little difference in overall happiness.
285,285,575,9,10,1,Slight improvement in work-life balance and satisfaction.
286,286,576,6,4,-2,Struggles with job satisfaction after the transition.
287,287,577,5,3,-2,Struggles with job satisfaction after the transition.
288,288,580,5,8,3,Feels more fulfilled and motivated after switching.
289,289,581,4,3,-1,Feels unsure about the new role and its demands.
290,290,583,2,4,2,Feels more fulfilled and motivated after switching.
291,291,585,1,1,0,Change made little difference in overall happiness.
292,292,587,3,1,-2,Struggles with job satisfaction after the transition.
293,293,588,6,9,3,Feels more fulfilled and motivated after switching.
294,294,590,7,5,-2,Struggles with job satisfaction after the transition.
295,295,591,7,8,1,Slight improvement in work-life balance and satisfaction.
296,296,592,4,5,1,Slight improvement in work-life balance and satisfaction.
297,297,594,1,1,0,Change made little difference in overall happiness.
298,298,596,3,6,3,Feels more fulfilled and motivated after switching.
299,299,598,1,1,0,Change made little difference in overall happiness.
300,300,601,10,10,0,Change made little difference in overall happiness.
301,301,604,10,10,0,Change made little difference in overall happiness.
302,302,606,9,9,0,Change made little difference in overall happiness.
303,303,607,6,6,0,Change made little difference in overall happiness.
304,304,610,7,9,2,Feels more fulfilled and motivated after switching.
305,305,613,8,7,-1,Feels unsure about the new role and its demands.
306,306,614,6,7,1,Slight improvement in work-life balance and satisfaction.
307,307,616,6,8,2,Feels more fulfilled and motivated after switching.
308,308,617,7,8,1,Slight improvement in work-life balance and satisfaction.
309,309,619,2,1,-1,Feels unsure about the new role and its demands.
310,310,621,1,3,2,Feels more fulfilled and motivated after switching.
311,311,623,1,3,2,Feels more fulfilled and motivated after switching.
312,312,625,5,3,-2,Struggles with job satisfaction after the transition.
313,313,626,1,1,0,Change made little difference in overall happiness.
314,314,627,10,8,-2,Struggles with job satisfaction after the transition.
315,315,628,3,1,-2,Struggles with job satisfaction after the transition.
316,316,631,6,8,2,Feels more fulfilled and motivated after switching.
317,317,633,10,10,0,Change made little difference in overall happiness.
318,318,635,7,6,-1,Feels unsure about the new role and its demands.
319,319,638,8,8,0,Change made little difference in overall happiness.
320,320,641,3,6,3,Feels more fulfilled and motivated after switching.
321,321,642,6,6,0,Change made little difference in overall happiness.
322,322,644,3,6,3,Feels more fulfilled and motivated after switching.
323,323,645,8,10,2,Feels more fulfilled and motivated after switching.
324,324,647,7,6,-1,Feels unsure about the new role and its demands.
325,325,649,10,10,0,Change made little difference in overall happiness.
326,326,650,10,10,0,Change made little difference in overall happiness.
327,327,651,3,5,2,Feels more fulfilled and motivated after switching.
328,328,655,5,3,-2,Struggles with job satisfaction after the transition.
329,329,656,9,8,-1,Feels unsure about the new role and its demands.
330,330,657,5,6,1,Slight improvement in work-life balance and satisfaction.
331,331,659,5,8,3,Feels more fulfilled and motivated after switching.
332,332,662,8,10,2,Feels more fulfilled and motivated after switching.
333,333,665,6,4,-2,Struggles with job satisfaction after the transition.
334,334,666,1,4,3,Feels more fulfilled and motivated after switching.
335,335,667,4,3,-1,Feels unsure about the new role and its demands.
336,336,671,10,10,0,Change made little difference in overall happiness.
337,337,674,2,1,-1,Feels unsure about the new role and its demands.
338,338,675,3,2,-1,Feels unsure about the new role and its demands.
339,339,677,2,3,1,Slight improvement in work-life balance and satisfaction.
340,340,678,2,3,1,Slight improvement in work-life balance and satisfaction.
341,341,680,7,10,3,Feels more fulfilled and motivated after switching.
342,342,683,7,5,-2,Struggles with job satisfaction after the transition.
343,343,686,1,1,0,Change made little difference in overall happiness.
344,344,688,2,2,0,Change made little difference in overall happiness.
345,345,690,4,7,3,Feels more fulfilled and motivated after switching.
346,346,693,7,6,-1,Feels unsure about the new role and its demands.
347,347,695,7,9,2,Feels more fulfilled and motivated after switching.
348,348,696,8,10,2,Feels more fulfilled and motivated after switching.
349,349,697,10,10,0,Change made little difference in overall happiness.
350,350,698,9,10,1,Slight improvement in work-life balance and satisfaction.
351,351,701,7,7,0,Change made little difference in overall happiness.
352,352,703,6,9,3,Feels more fulfilled and motivated after switching.
353,353,706,9,7,-2,Struggles with job satisfaction after the transition.
354,354,707,7,5,-2,Struggles with job satisfaction after the transition.
355,355,710,10,10,0,Change made little difference in overall happiness.
356,356,711,4,6,2,Feels more fulfilled and motivated after switching.
357,357,712,7,10,3,Feels more fulfilled and motivated after switching.
358,358,714,6,8,2,Feels more fulfilled and motivated after switching.
359,359,715,7,5,-2,Struggles with job satisfaction after the transition.
360,360,717,6,5,-1,Feels unsure about the new role and its demands.
361,361,719,7,5,-2,Struggles with job satisfaction after the transition.
362,362,723,7,10,3,Feels more fulfilled and motivated after switching.
363,363,724,3,6,3,Feels more fulfilled and motivated after switching.
364,364,728,1,1,0,Change made little difference in overall happiness.
365,365,730,9,9,0,Change made little difference in overall happiness.
366,366,731,10,8,-2,Struggles with job satisfaction after the transition.
367,367,733,3,3,0,Change made little difference in overall happiness.
368,368,735,7,6,-1,Feels unsure about the new role and its demands.
369,369,736,10,10,0,Change made little difference in overall happiness.
370,370,737,7,5,-2,Struggles with job satisfaction after the transition.
371,371,738,10,10,0,Change made little difference in overall happiness.
372,372,740,2,4,2,Feels more fulfilled and motivated after switching.
373,373,741,4,7,3,Feels more fulfilled and motivated after switching.
374,374,744,3,2,-1,Feels unsure about the new role and its demands.
375,375,746,8,6,-2,Struggles with job satisfaction after the transition.
376,376,749,3,2,-1,Feels unsure about the new role and its demands.
377,377,750,1,1,0,Change made little difference in overall happiness.
378,378,752,9,10,1,Slight improvement in work-life balance and satisfaction.
379,379,755,1,4,3,Feels more fulfilled and motivated after switching.
380,380,757,8,10,2,Feels more fulfilled and motivated after switching.
381,381,759,10,8,-2,Struggles with job satisfaction after the transition.
382,382,761,6,4,-2,Struggles with job satisfaction after the transition.
383,383,763,3,6,3,Feels more fulfilled and motivated after switching.
384,384,764,3,3,0,Change made little difference in overall happiness.
385,385,765,5,5,0,Change made little difference in overall happiness.
386,386,768,7,7,0,Change made little difference in overall happiness.
387,387,769,10,10,0,Change made little difference in overall happiness.
388,388,770,4,5,1,Slight improvement in work-life balance and satisfaction.
389,389,771,7,9,2,Feels more fulfilled and motivated after switching.
390,390,772,1,1,0,Change made little difference in overall happiness.
391,391,774,10,10,0,Change made little difference in overall happiness.
392,392,776,2,5,3,Feels more fulfilled and motivated after switching.
393,393,779,9,10,1,Slight improvement in work-life balance and satisfaction.
394,394,780,2,3,1,Slight improvement in work-life balance and satisfaction.
395,395,782,5,4,-1,Feels unsure about the new role and its demands.
396,396,786,1,2,1,Slight improvement in work-life balance and satisfaction.
397,397,787,6,4,-2,Struggles with job satisfaction after the transition.
398,398,789,1,1,0,Change made little difference in overall happiness.
399,399,790,5,4,-1,Feels unsure about the new role and its demands.
400,400,791,2,3,1,Slight improvement in work-life balance and satisfaction.
401,401,792,2,3,1,Slight improvement in work-life balance and satisfaction.
402,402,794,6,9,3,Feels more fulfilled and motivated after switching.
403,403,795,4,3,-1,Feels unsure about the new role and its demands.
404,404,796,3,4,1,Slight improvement in work-life balance and satisfaction.
405,405,799,5,6,1,Slight improvement in work-life balance and satisfaction.
406,406,800,3,1,-2,Struggles with job satisfaction after the transition.
407,407,801,3,3,0,Change made little difference in overall happiness.
408,408,803,5,7,2,Feels more fulfilled and motivated after switching.
409,409,805,6,7,1,Slight improvement in work-life balance and satisfaction.
410,410,806,4,2,-2,Struggles with job satisfaction after the transition.
411,411,807,10,10,0,Change made little difference in overall happiness.
412,412,809,7,9,2,Feels more fulfilled and motivated after switching.
413,413,811,9,10,1,Slight improvement in work-life balance and satisfaction.
414,414,812,6,9,3,Feels more fulfilled and motivated after switching.
415,415,814,6,4,-2,Struggles with job satisfaction after the transition.
416,416,815,4,6,2,Feels more fulfilled and motivated after switching.
417,417,818,5,8,3,Feels more fulfilled and motivated after switching.
418,418,821,5,5,0,Change made little difference in overall happiness.
419,419,825,1,1,0,Change made little difference in overall happiness.
420,420,827,10,10,0,Change made little difference in overall happiness.
421,421,829,3,3,0,Change made little difference in overall happiness.
422,422,832,9,8,-1,Feels unsure about the new role and its demands.
423,423,834,4,7,3,Feels more fulfilled and motivated after switching.
424,424,835,8,10,2,Feels more fulfilled and motivated after switching.
425,425,838,1,4,3,Feels more fulfilled and motivated after switching.
426,426,839,9,7,-2,Struggles with job satisfaction after the transition.
427,427,843,1,2,1,Slight improvement in work-life balance and satisfaction.
428,428,846,1,1,0,Change made little difference in overall happiness.
429,429,847,2,5,3,Feels more fulfilled and motivated after switching.
430,430,850,8,6,-2,Struggles with job satisfaction after the transition.
431,431,851,7,10,3,Feels more fulfilled and motivated after switching.
432,432,852,10,10,0,Change made little difference in overall happiness.
433,433,856,6,4,-2,Struggles with job satisfaction after the transition.
434,434,857,5,7,2,Feels more fulfilled and motivated after switching.
435,435,859,2,5,3,Feels more fulfilled and motivated after switching.
436,436,860,6,9,3,Feels more fulfilled and motivated after switching.
437,437,863,4,4,0,Change made little difference in overall happiness.
438,438,865,7,5,-2,Struggles with job satisfaction after the transition.
439,439,866,1,1,0,Change made little difference in overall happiness.
440,440,868,10,8,-2,Struggles with job satisfaction after the transition.
441,441,869,5,8,3,Feels more fulfilled and motivated after switching.
442,442,871,8,6,-2,Struggles with job satisfaction after the transition.
443,443,872,8,8,0,Change made little difference in overall happiness.
444,444,873,10,8,-2,Struggles with job satisfaction after the transition.
445,445,874,5,4,-1,Feels unsure about the new role and its demands.
446,446,876,1,2,1,Slight improvement in work-life balance and satisfaction.
447,447,879,3,4,1,Slight improvement in work-life balance and satisfaction.
448,448,881,1,1,0,Change made little difference in overall happiness.
449,449,883,1,1,0,Change made little difference in overall happiness.
450,450,884,4,6,2,Feels more fulfilled and motivated after switching.
451,451,885,1,4,3,Feels more fulfilled and motivated after switching.
452,452,887,2,1,-1,Feels unsure about the new role and its demands.
453,453,890,5,6,1,Slight improvement in work-life balance and satisfaction.
454,454,891,4,6,2,Feels more fulfilled and motivated after switching.
455,455,894,9,8,-1,Feels unsure about the new role and its demands.
456,456,895,2,5,3,Feels more fulfilled and motivated after switching.
457,457,898,6,6,0,Change made little difference in overall happiness.
458,458,899,9,10,1,Slight improvement in work-life balance and satisfaction.
459,459,902,1,2,1,Slight improvement in work-life balance and satisfaction.
460,460,904,3,4,1,Slight improvement in work-life balance and satisfaction.
461,461,905,8,8,0,Change made little difference in overall happiness.
462,462,909,10,10,0,Change made little difference in overall happiness.
463,463,911,8,6,-2,Struggles with job satisfaction after the transition.
464,464,914,3,1,-2,Struggles with job satisfaction after the transition.
465,465,916,2,3,1,Slight improvement in work-life balance and satisfaction.
466,466,918,3,5,2,Feels more fulfilled and motivated after switching.
467,467,920,6,7,1,Slight improvement in work-life balance and satisfaction.
468,468,922,5,7,2,Feels more fulfilled and motivated after switching.
469,469,923,10,8,-2,Struggles with job satisfaction after the transition.
470,470,925,8,8,0,Change made little difference in overall happiness.
471,471,927,2,1,-1,Feels unsure about the new role and its demands.
472,472,930,10,10,0,Change made little difference in overall happiness.
473,473,933,4,4,0,Change made little difference in overall happiness.
474,474,936,2,1,-1,Feels unsure about the new role and its demands.
475,475,938,4,2,-2,Struggles with job satisfaction after the transition.
476,476,940,6,5,-1,Feels unsure about the new role and its demands.
477,477,942,5,4,-1,Feels unsure about the new role and its demands.
