transition_id,person_id,from_role,to_role,from_industry,to_industry,transition_date,transition_time_months
66,29,Cashier,Engineer,Retail,Consulting,2020-11-26,2
67,29,Nurse,Data Analyst,Retail,Technology,2021-11-26,19
68,30,Nurse,Engineer,Technology,E-Commerce,2015-06-04,10
69,30,Developer,Engineer,Education,Technology,2016-06-03,9
70,31,Nurse,Project Manager,Retail,Technology,2020-07-22,11
71,31,Manager,Product Owner,Technology,Finance,2021-07-22,9
72,32,Manager,Data Analyst,Education,Technology,2023-06-02,9
73,32,Developer,Product Owner,Technology,Technology,2024-06-01,8
74,32,Cashier,N/A,Education,Healthcare,2025-06-01,15
75,33,Developer,Project Manager,Hospitality,Consulting,2016-07-25,24
76,33,Manager,Project Manager,Education,Consulting,2017-07-25,1
77,34,Teacher,Designer,Healthcare,E-Commerce,2019-09-18,9
78,35,Teacher,Data Analyst,Hospitality,Consulting,2020-03-10,8
79,36,Nurse,Designer,Technology,E-Commerce,2021-08-26,21
80,36,Nurse,Data Analyst,Hospitality,N/A,2022-08-26,5
81,36,Teacher,Engineer,Hospitality,Consulting,2023-08-26,3
82,37,Manager,Project Manager,Technology,Healthcare,2021-04-02,4
83,38,Nurse,Data Analyst,Technology,Consulting,2021-12-10,16
84,39,Developer,Product Owner,Healthcare,Consulting,2023-06-10,20
85,40,Developer,Product Owner,Technology,Healthcare,2019-05-08,6
86,40,Manager,Project Manager,Retail,Technology,2020-05-07,1
87,40,Nurse,Designer,Retail,Technology,2021-05-07,21
88,41,Developer,Designer,Healthcare,Technology,2015-11-05,7
89,41,N/A,Data Analyst,Education,Technology,2016-11-04,2
90,41,Nurse,Designer,Education,Consulting,2017-11-04,10
91,42,Developer,Project Manager,N/A,Finance,2021-06-21,15
92,43,Teacher,Data Analyst,Technology,Healthcare,2024-03-26,2
93,43,Developer,Engineer,Healthcare,Finance,2025-03-26,24
94,44,Manager,N/A,N/A,Finance,2023-05-22,1
95,45,Cashier,Designer,Education,E-Commerce,2018-07-18,4
96,46,Developer,Data Analyst,Hospitality,Technology,2021-02-26,19
97,47,Nurse,Product Owner,Retail,Consulting,2020-03-03,17
98,47,Nurse,Designer,Technology,Technology,2021-03-03,10
99,47,Developer,Project Manager,Healthcare,N/A,2022-03-03,12
100,48,N/A,N/A,Education,N/A,2019-04-23,7
101,49,Developer,Engineer,N/A,E-Commerce,2021-05-04,12
102,50,Cashier,Designer,N/A,Technology,2018-09-22,8
103,50,Cashier,Product Owner,Retail,Healthcare,2019-09-22,17
104,50,Manager,Designer,Healthcare,Healthcare,2020-09-21,5
105,51,Nurse,Data Analyst,Education,Technology,2019-04-30,14
106,51,Nurse,Designer,Healthcare,Finance,2020-04-29,2
107,51,N/A,Product Owner,Healthcare,Finance,2021-04-29,16
108,52,Nurse,Data Analyst,Hospitality,Consulting,2020-08-14,17
109,53,Teacher,Project Manager,Retail,E-Commerce,2016-02-12,23
110,53,Cashier,Data Analyst,Technology,Finance,2017-02-11,1
111,53,Nurse,Engineer,Retail,Consulting,2018-02-11,18
112,54,Teacher,Data Analyst,Retail,Healthcare,2019-10-11,4
113,54,Manager,Project Manager,Hospitality,Healthcare,2020-10-10,15
114,55,Nurse,Designer,Technology,Healthcare,2021-06-24,19
115,55,Teacher,Data Analyst,Education,Technology,2022-06-24,10
116,55,Developer,Data Analyst,Technology,E-Commerce,2023-06-24,5
117,56,Developer,Data Analyst,Education,Consulting,2022-04-20,11
118,56,Teacher,Data Analyst,Technology,E-Commerce,2023-04-20,7
119,56,Cashier,Project Manager,Healthcare,Technology,2024-04-19,5
120,57,Cashier,Product Owner,Technology,Consulting,2024-05-04,15
121,57,Nurse,Product Owner,Hospitality,Consulting,2025-05-04,12
122,57,Developer,Data Analyst,Education,Finance,2026-05-04,4
123,58,Cashier,N/A,Retail,E-Commerce,2024-02-16,12
124,58,Cashier,Project Manager,N/A,E-Commerce,2025-02-15,18
125,59,Developer,Data Analyst,Education,Finance,2022-02-15,19
126,60,Manager,Engineer,Education,Healthcare,2021-01-08,2
127,60,Cashier,Data Analyst,Retail,Technology,2022-01-08,16
128,60,Teacher,Engineer,Healthcare,E-Commerce,2023-01-08,1
129,61,Nurse,Data Analyst,Hospitality,Finance,2023-09-30,18
130,62,Cashier,Engineer,Retail,Consulting,2018-05-19,13
131,63,Cashier,Engineer,Retail,Finance,2019-07-22,24
132,64,Manager,Data Analyst,Healthcare,N/A,2023-08-15,6
133,65,Teacher,Engineer,Hospitality,Technology,2018-05-17,10
134,66,Nurse,Designer,Retail,Healthcare,2020-01-18,1
135,67,Cashier,Product Owner,Healthcare,Consulting,2024-07-21,11
136,67,Nurse,Project Manager,Hospitality,Consulting,2025-07-21,24
137,67,Developer,Engineer,Technology,Consulting,2026-07-21,24
138,68,Cashier,Engineer,Education,Consulting,2018-11-21,18
139,68,Cashier,N/A,Healthcare,Finance,2019-11-21,21
140,68,Developer,Engineer,Education,Consulting,2020-11-20,20
141,69,N/A,N/A,Technology,Consulting,2021-01-03,10
142,70,Cashier,Data Analyst,Retail,Finance,2024-04-22,15
143,71,Nurse,Designer,Retail,Consulting,2022-04-19,15
144,71,Teacher,Designer,N/A,Healthcare,2023-04-19,12
145,71,Nurse,Product Owner,Healthcare,Healthcare,2024-04-18,8
146,72,Manager,Engineer,Healthcare,E-Commerce,2017-09-21,6
147,72,Teacher,Product Owner,N/A,Healthcare,2018-09-21,5
148,73,Nurse,Data Analyst,Education,Technology,2022-01-31,12
149,73,Nurse,Designer,Retail,Technology,2023-01-31,4
150,74,Developer,Data Analyst,Retail,Technology,2023-05-31,13
151,74,Manager,Data Analyst,Healthcare,Finance,2024-05-30,17
152,74,Developer,Engineer,Healthcare,N/A,2025-05-30,16
153,75,Teacher,Data Analyst,Hospitality,Technology,2018-09-03,1
154,76,Developer,Designer,Technology,N/A,2022-05-21,12
155,76,Manager,Product Owner,Education,Finance,2023-05-21,5
156,76,Cashier,Designer,Technology,E-Commerce,2024-05-20,23
157,77,Cashier,Engineer,Technology,N/A,2021-08-30,20
158,77,Teacher,Designer,Healthcare,Consulting,2022-08-30,2
159,78,Cashier,Project Manager,Healthcare,E-Commerce,2020-02-06,6
160,78,Developer,Product Owner,Healthcare,Consulting,2021-02-05,22
161,78,Teacher,Project Manager,Technology,Finance,2022-02-05,12
162,79,Manager,Project Manager,Education,E-Commerce,2023-10-22,18
163,80,Teacher,Engineer,Healthcare,E-Commerce,2020-04-30,20
164,80,Teacher,Data Analyst,Retail,Finance,2021-04-30,4
165,80,Nurse,Project Manager,Education,Finance,2022-04-30,1
166,81,Nurse,Designer,Retail,Technology,2019-02-02,18
167,81,Teacher,Data Analyst,Education,Healthcare,2020-02-02,14
168,81,Cashier,Designer,Healthcare,N/A,2021-02-01,3
169,82,Nurse,Designer,Hospitality,E-Commerce,2017-08-16,15
170,83,Manager,Data Analyst,Healthcare,Finance,2015-07-02,5
171,83,Developer,Data Analyst,Technology,Finance,2016-07-01,24
172,83,Nurse,Designer,Technology,Healthcare,2017-07-01,22
173,84,N/A,Engineer,Education,Finance,2022-11-02,22
174,84,Cashier,Product Owner,N/A,Consulting,2023-11-02,7
175,84,Developer,Product Owner,Healthcare,Consulting,2024-11-01,6
176,85,Nurse,Engineer,Retail,N/A,2023-01-16,22
177,85,Cashier,Data Analyst,Healthcare,Consulting,2024-01-16,1
178,86,Cashier,Designer,Education,Healthcare,2021-03-17,7
179,86,Cashier,Product Owner,Technology,E-Commerce,2022-03-17,4
180,86,Teacher,Designer,Retail,Consulting,2023-03-17,12
181,87,Manager,N/A,Hospitality,Finance,2023-12-04,18
182,87,Cashier,Designer,Retail,Consulting,2024-12-03,9
183,87,Developer,Engineer,Retail,Healthcare,2025-12-03,19
184,88,Nurse,Data Analyst,Healthcare,Finance,2023-01-05,4
185,88,Developer,Engineer,Hospitality,Consulting,2024-01-05,1
186,89,Teacher,Engineer,Education,E-Commerce,2015-01-29,15
187,90,N/A,Product Owner,Education,Finance,2023-08-22,8
188,90,Developer,Designer,Retail,Finance,2024-08-21,15
189,91,Manager,Product Owner,Retail,E-Commerce,2019-12-12,18
190,91,Teacher,Project Manager,Technology,Finance,2020-12-11,7
191,91,Teacher,Engineer,Hospitality,Consulting,2021-12-11,22
192,92,Developer,Project Manager,Retail,Finance,2019-02-23,16
193,92,Teacher,Product Owner,Technology,Consulting,2020-02-23,2
194,93,Manager,Designer,Hospitality,E-Commerce,2017-09-15,24
195,93,N/A,Product Owner,Education,Technology,2018-09-15,23
196,93,Manager,N/A,Technology,E-Commerce,2019-09-15,2
197,94,Nurse,Designer,Hospitality,Consulting,2021-12-13,5
198,94,Manager,Data Analyst,Technology,Healthcare,2022-12-13,2
199,94,Manager,Engineer,Retail,E-Commerce,2023-12-13,19
200,95,Nurse,Product Owner,Healthcare,Healthcare,2024-07-17,2
201,95,Cashier,Designer,N/A,Healthcare,2025-07-17,2
202,96,Teacher,Product Owner,Retail,Consulting,2018-09-19,24
203,96,Manager,Product Owner,Retail,Consulting,2019-09-19,23
204,97,Teacher,N/A,Hospitality,Technology,2019-04-14,20
205,97,Developer,Project Manager,Technology,Finance,2020-04-13,21
206,98,Teacher,Engineer,Education,E-Commerce,2020-02-12,15
207,98,Nurse,Engineer,Retail,Consulting,2021-02-11,12
208,99,Teacher,Data Analyst,Hospitality,E-Commerce,2019-02-24,11
209,99,Teacher,Data Analyst,Education,Healthcare,2020-02-24,7
210,99,Teacher,Data Analyst,Technology,Finance,2021-02-23,12
211,100,Cashier,Engineer,Retail,Technology,2022-04-29,2
212,101,Cashier,Project Manager,Retail,E-Commerce,2020-09-26,16
213,101,Developer,Engineer,Retail,Finance,2021-09-26,23
214,102,Nurse,Engineer,Education,Technology,2024-02-10,15
215,102,Teacher,Engineer,Education,E-Commerce,2025-02-09,11
216,103,Teacher,Engineer,Education,Finance,2015-07-16,6
217,104,Teacher,Project Manager,Education,Consulting,2021-01-21,19
218,105,Teacher,Data Analyst,Hospitality,E-Commerce,2015-05-28,24
219,105,Cashier,Product Owner,Healthcare,Finance,2016-05-27,19
220,106,Developer,Data Analyst,Hospitality,Technology,2020-03-13,5
221,106,Manager,Data Analyst,Retail,Finance,2021-03-13,21
222,107,Nurse,Product Owner,Hospitality,Consulting,2020-06-05,7
223,107,Teacher,Engineer,Technology,E-Commerce,2021-06-05,11
224,107,Developer,Project Manager,Education,E-Commerce,2022-06-05,14
225,108,Manager,Project Manager,Technology,E-Commerce,2016-01-06,21
226,108,Developer,Data Analyst,Technology,Consulting,2017-01-05,16
227,108,Cashier,Product Owner,Retail,Technology,2018-01-05,18
228,109,Manager,Designer,Education,E-Commerce,2021-02-22,23
229,110,Developer,Engineer,Technology,Technology,2015-07-18,4
230,110,Cashier,Data Analyst,Retail,Finance,2016-07-17,1
231,110,Developer,Project Manager,Education,Technology,2017-07-17,22
232,111,Developer,Product Owner,Healthcare,Technology,2017-12-22,15
233,112,Manager,Product Owner,Retail,E-Commerce,2024-01-19,19
234,112,Cashier,Data Analyst,Hospitality,Healthcare,2025-01-18,5
235,113,N/A,Designer,Education,Healthcare,2019-07-31,13
236,113,Nurse,Project Manager,Technology,N/A,2020-07-30,18
237,113,Manager,Data Analyst,Technology,Consulting,2021-07-30,12
238,114,Cashier,Designer,Hospitality,Healthcare,2021-10-27,23
239,114,Developer,Product Owner,Hospitality,Finance,2022-10-27,21
240,114,Cashier,Engineer,Technology,E-Commerce,2023-10-27,15
241,115,Nurse,Project Manager,N/A,E-Commerce,2022-11-19,23
242,115,Nurse,Project Manager,Retail,Finance,2023-11-19,9
243,116,Teacher,Designer,Hospitality,Finance,2017-10-23,9
244,117,Teacher,Data Analyst,Hospitality,Healthcare,2015-02-20,10
245,118,Nurse,Product Owner,N/A,Consulting,2015-11-14,16
246,118,Manager,Designer,Healthcare,Finance,2016-11-13,13
247,118,Manager,Engineer,Education,Consulting,2017-11-13,4
248,119,Developer,Engineer,Education,N/A,2022-10-16,13
249,120,Teacher,Engineer,Education,E-Commerce,2018-05-09,8
250,121,Developer,Designer,Education,Healthcare,2019-10-09,13
251,121,Teacher,Product Owner,N/A,E-Commerce,2020-10-08,15
252,121,Nurse,Project Manager,Technology,Healthcare,2021-10-08,20
253,122,Manager,Data Analyst,Hospitality,Technology,2017-12-06,23
254,123,Manager,Project Manager,Technology,E-Commerce,2018-05-03,5
255,123,Nurse,Product Owner,Healthcare,Technology,2019-05-03,22
256,123,Developer,Project Manager,Retail,Healthcare,2020-05-02,22
257,124,Developer,N/A,Hospitality,Finance,2024-08-25,5
258,124,Cashier,Engineer,Healthcare,E-Commerce,2025-08-25,13
259,125,Teacher,Product Owner,Technology,Technology,2015-10-11,5
260,126,N/A,Product Owner,Retail,E-Commerce,2022-12-14,13
261,127,Nurse,Project Manager,Healthcare,E-Commerce,2022-08-08,20
262,127,Developer,Designer,Retail,E-Commerce,2023-08-08,23
263,127,Manager,Project Manager,Healthcare,Consulting,2024-08-07,8
264,128,Teacher,Project Manager,Technology,Technology,2018-11-13,21
265,129,Cashier,Product Owner,Retail,Technology,2023-05-03,20
266,129,Teacher,Project Manager,Healthcare,N/A,2024-05-02,15
267,129,Manager,Engineer,N/A,Finance,2025-05-02,22
268,130,Manager,Project Manager,Hospitality,E-Commerce,2017-05-31,11
269,130,Manager,Engineer,Technology,Consulting,2018-05-31,5
270,131,Manager,Product Owner,Technology,Healthcare,2020-05-09,11
271,132,Nurse,Designer,Hospitality,Consulting,2019-08-03,19
272,132,Cashier,Engineer,N/A,Finance,2020-08-02,2
273,132,Manager,Designer,Hospitality,E-Commerce,2021-08-02,6
274,133,Manager,Designer,Hospitality,Technology,2020-11-15,23
275,134,N/A,Engineer,Hospitality,E-Commerce,2015-01-30,1
276,135,Cashier,Product Owner,Healthcare,Finance,2019-02-10,3
277,135,Teacher,Data Analyst,Retail,Technology,2020-02-10,14
278,135,Cashier,Designer,Healthcare,Consulting,2021-02-09,20
279,136,Cashier,Designer,Hospitality,Healthcare,2024-07-25,22
280,136,Cashier,Product Owner,Retail,Healthcare,2025-07-25,5
281,137,Manager,Product Owner,Retail,N/A,2015-06-27,15
282,138,Manager,Project Manager,Hospitality,Consulting,2016-01-30,14
283,138,Nurse,Product Owner,Retail,Finance,2017-01-29,14
284,139,Teacher,Designer,Retail,Healthcare,2022-03-05,17
285,140,Developer,Engineer,Healthcare,Consulting,2017-05-05,9
286,140,Cashier,Data Analyst,Retail,E-Commerce,2018-05-05,11
287,140,Teacher,Project Manager,Hospitality,Technology,2019-05-05,13
288,141,Teacher,Engineer,Education,E-Commerce,2020-09-13,24
289,142,Nurse,Data Analyst,Education,E-Commerce,2024-07-06,21
290,142,Developer,Data Analyst,Education,Consulting,2025-07-06,19
291,142,Cashier,Data Analyst,Hospitality,Healthcare,2026-07-06,5
292,143,Developer,Engineer,Education,Consulting,2020-12-22,20
293,144,Nurse,Project Manager,Healthcare,Technology,2016-11-14,3
294,144,Manager,Project Manager,Hospitality,Consulting,2017-11-14,19
295,145,N/A,Data Analyst,Hospitality,Finance,2021-01-10,8
296,146,Cashier,Engineer,Hospitality,E-Commerce,2015-08-27,24
297,146,Manager,Data Analyst,Retail,Healthcare,2016-08-26,3
298,147,Nurse,Product Owner,Retail,Technology,2017-04-04,11
299,148,Developer,Project Manager,N/A,E-Commerce,2015-01-31,8
300,149,Teacher,Designer,Technology,Consulting,2020-02-07,10
301,149,N/A,Data Analyst,Healthcare,Finance,2021-02-06,18
302,149,Manager,Product Owner,Hospitality,Consulting,2022-02-06,18
303,150,Manager,N/A,Hospitality,E-Commerce,2020-11-04,7
304,151,Teacher,Engineer,Retail,Technology,2015-05-24,16
305,151,Developer,Project Manager,Hospitality,Healthcare,2016-05-23,16
306,152,Nurse,Engineer,Hospitality,E-Commerce,2018-02-23,24
307,152,Developer,Engineer,Education,Technology,2019-02-23,1
308,152,Developer,Data Analyst,Hospitality,E-Commerce,2020-02-23,24
309,153,Developer,Data Analyst,Technology,Finance,2024-07-26,3
310,153,Teacher,Project Manager,Retail,Consulting,2025-07-26,6
311,153,Teacher,Product Owner,Healthcare,Healthcare,2026-07-26,4
312,154,Nurse,Project Manager,Healthcare,Technology,2016-08-08,9
313,154,Developer,Designer,N/A,Healthcare,2017-08-08,8
314,155,Teacher,Engineer,Healthcare,Healthcare,2020-04-20,17
315,155,Nurse,Engineer,Healthcare,Healthcare,2021-04-20,17
316,155,Nurse,Data Analyst,Retail,Technology,2022-04-20,1
317,156,Developer,Product Owner,Retail,Technology,2018-07-27,22
318,156,Cashier,Data Analyst,Technology,Healthcare,2019-07-27,20
319,157,Developer,Designer,Education,Consulting,2020-11-03,11
320,157,Cashier,Project Manager,Healthcare,E-Commerce,2021-11-03,3
321,157,Nurse,Project Manager,Technology,Healthcare,2022-11-03,24
322,158,Teacher,Product Owner,Education,Finance,2018-11-11,8
323,158,Manager,Data Analyst,Healthcare,Healthcare,2019-11-11,22
324,159,Nurse,Data Analyst,Healthcare,Technology,2016-02-07,10
325,160,Teacher,Designer,Retail,E-Commerce,2017-05-15,8
326,161,Nurse,Project Manager,N/A,Finance,2022-11-23,1
327,161,Developer,Data Analyst,Education,E-Commerce,2023-11-23,20
328,162,Cashier,N/A,Healthcare,E-Commerce,2019-07-04,7
329,163,Nurse,Project Manager,Education,Finance,2018-12-15,12
330,164,N/A,Designer,Technology,Healthcare,2018-10-22,9
331,164,N/A,Product Owner,Technology,Healthcare,2019-10-22,20
332,165,Manager,Engineer,Hospitality,Healthcare,2023-05-12,4
333,165,Developer,Designer,Healthcare,Consulting,2024-05-11,10
334,165,Cashier,Product Owner,Retail,Healthcare,2025-05-11,4
335,166,Developer,Data Analyst,Healthcare,Finance,2020-08-16,9
336,166,Manager,Engineer,Education,Consulting,2021-08-16,22
337,167,Teacher,Designer,Technology,N/A,2018-03-14,5
338,168,Nurse,Data Analyst,Education,N/A,2016-05-03,5
339,169,Cashier,Engineer,Hospitality,Finance,2016-09-16,19
340,169,Manager,Project Manager,Technology,Healthcare,2017-09-16,8
341,170,Cashier,Data Analyst,Retail,Technology,2016-11-24,11
342,170,Developer,Product Owner,Technology,Finance,2017-11-24,13
343,171,Cashier,Designer,Healthcare,N/A,2017-06-02,12
344,171,Manager,Engineer,Healthcare,E-Commerce,2018-06-02,5
345,171,Nurse,Data Analyst,Technology,Finance,2019-06-02,10
346,172,Nurse,Project Manager,Hospitality,E-Commerce,2019-01-25,24
347,172,Cashier,Designer,Healthcare,Finance,2020-01-25,7
348,172,Teacher,Designer,Healthcare,Technology,2021-01-24,21
349,173,Cashier,Data Analyst,Retail,Finance,2020-12-30,9
350,174,Developer,Project Manager,Technology,Healthcare,2024-10-19,10
351,174,Nurse,Engineer,Healthcare,Healthcare,2025-10-19,2
352,175,Nurse,Data Analyst,Hospitality,N/A,2015-07-01,14
353,176,N/A,Engineer,Education,E-Commerce,2019-09-04,13
354,177,Teacher,Designer,Technology,E-Commerce,2017-11-02,21
355,177,Teacher,Engineer,Retail,Finance,2018-11-02,24
356,177,Manager,Project Manager,Healthcare,E-Commerce,2019-11-02,18
357,178,Cashier,Product Owner,Hospitality,Healthcare,2021-10-28,13
358,178,Cashier,Project Manager,Technology,Technology,2022-10-28,8
359,179,Developer,Engineer,Hospitality,Finance,2021-02-02,12
360,179,Nurse,Data Analyst,Hospitality,E-Commerce,2022-02-02,23
361,180,Teacher,Designer,Retail,Healthcare,2018-02-21,1
362,181,Developer,Product Owner,Technology,Consulting,2022-11-02,18
363,181,Developer,Data Analyst,Healthcare,E-Commerce,2023-11-02,3
364,181,Teacher,Data Analyst,Retail,Technology,2024-11-01,12
365,182,Cashier,Project Manager,Healthcare,Technology,2019-06-30,13
366,182,Nurse,Engineer,Education,E-Commerce,2020-06-29,10
367,182,Cashier,Project Manager,Hospitality,E-Commerce,2021-06-29,15
368,183,Developer,Engineer,Education,Healthcare,2017-07-14,19
369,183,Nurse,Project Manager,Hospitality,E-Commerce,2018-07-14,3
370,184,Manager,Data Analyst,Retail,Consulting,2024-05-19,7
371,184,Developer,Designer,Healthcare,Healthcare,2025-05-19,8
372,185,Cashier,Engineer,Healthcare,Finance,2022-05-21,11
373,186,Cashier,Product Owner,Retail,Consulting,2021-06-21,22
374,187,Cashier,Product Owner,Technology,Healthcare,2018-02-12,11
375,187,Teacher,Data Analyst,Education,Healthcare,2019-02-12,17
376,188,Developer,Project Manager,Education,Technology,2020-11-07,10
377,189,Nurse,Project Manager,Healthcare,Healthcare,2016-11-20,21
378,190,Cashier,Data Analyst,Healthcare,Consulting,2015-11-14,6
379,190,Cashier,Product Owner,Healthcare,E-Commerce,2016-11-13,5
380,191,Teacher,Product Owner,Retail,Consulting,2023-11-28,2
381,191,Nurse,Project Manager,N/A,Finance,2024-11-27,12
382,192,Developer,Engineer,Education,Healthcare,2021-03-08,6
383,192,Manager,Designer,Hospitality,Healthcare,2022-03-08,24
384,192,Teacher,Engineer,Retail,Healthcare,2023-03-08,14
385,193,Developer,Product Owner,Education,Healthcare,2023-06-09,21
386,194,N/A,Engineer,Technology,Technology,2018-10-20,14
387,194,Cashier,Designer,Retail,Technology,2019-10-20,3
388,195,Cashier,Engineer,Education,E-Commerce,2023-12-29,7
389,195,Nurse,Engineer,Retail,Healthcare,2024-12-28,15
390,195,Manager,Engineer,Education,Finance,2025-12-28,13
391,196,Cashier,Engineer,Education,E-Commerce,2018-04-10,15
392,196,Cashier,Data Analyst,Technology,Healthcare,2019-04-10,17
393,197,Nurse,Product Owner,Hospitality,Technology,2024-06-04,22
394,197,Developer,Designer,Technology,Finance,2025-06-04,14
395,198,Cashier,Product Owner,Education,E-Commerce,2020-12-15,12
396,198,Teacher,Data Analyst,Retail,Finance,2021-12-15,19
397,198,Teacher,Data Analyst,Technology,Healthcare,2022-12-15,22
398,199,Developer,Data Analyst,Hospitality,Consulting,2020-12-05,6
399,199,Manager,Data Analyst,Education,Finance,2021-12-05,9
400,200,Nurse,Engineer,N/A,Finance,2019-12-23,4
401,200,Teacher,Product Owner,Technology,Technology,2020-12-22,9
402,201,Teacher,Project Manager,Technology,Healthcare,2020-10-27,13
403,201,N/A,Designer,Technology,Finance,2021-10-27,20
404,201,N/A,Data Analyst,Retail,Healthcare,2022-10-27,8
405,202,Manager,Product Owner,N/A,Technology,2016-05-13,19
406,202,Developer,Data Analyst,Hospitality,N/A,2017-05-13,19
407,203,Teacher,Data Analyst,Education,N/A,2019-06-01,16
408,204,Nurse,Data Analyst,Healthcare,Technology,2022-05-04,10
409,204,Teacher,Data Analyst,Retail,E-Commerce,2023-05-04,8
410,204,N/A,Data Analyst,Education,Healthcare,2024-05-03,1
411,205,Teacher,N/A,Education,Consulting,2015-09-12,18
412,205,Nurse,Product Owner,Technology,E-Commerce,2016-09-11,3
413,206,Cashier,Data Analyst,Healthcare,Technology,2016-05-17,11
414,206,N/A,Data Analyst,Healthcare,N/A,2017-05-17,18
415,207,Developer,Data Analyst,N/A,Finance,2024-12-11,8
416,207,Cashier,Data Analyst,Healthcare,Finance,2025-12-11,14
417,207,Developer,Engineer,Education,E-Commerce,2026-12-11,6
418,208,Developer,Engineer,Healthcare,Consulting,2018-12-13,14
419,208,Developer,Project Manager,Healthcare,Healthcare,2019-12-13,7
420,208,Teacher,Data Analyst,Hospitality,Consulting,2020-12-12,10
421,209,Manager,Project Manager,Education,E-Commerce,2020-07-07,10
