barrier_id,person_id,transition_id,barrier_type,barrier_text,severity_score
51,239,486,Family responsibilities,Hard to relocate or change jobs with family needs.,4
52,301,604,Lack of experience,Didn't meet job requirements in new field.,3
53,301,604,Time limitations,Transition delayed due to lack of free time.,1
54,759,1483,Financial constraints,Cost of certification programs was too high.,1
55,120,249,Mental health issues,Depression impacted confidence to pursue a new career.,5
56,1057,2103,No support system,Felt isolated during the transition process.,1
57,1057,2103,Mental health issues,Depression impacted confidence to pursue a new career.,5
58,566,1097,Family responsibilities,Couldn't attend evening courses due to childcare.,3
59,825,1615,Fear of failure,Scared to leave a stable job for uncertainty.,5
60,825,1615,Age-related bias,Concerned about competing with younger talent.,4
61,398,789,Mental health issues,Depression impacted confidence to pursue a new career.,2
62,643,1252,Time limitations,Couldn't attend classes due to long work hours.,4
63,601,1167,Mental health issues,Depression impacted confidence to pursue a new career.,3
64,601,1167,Time limitations,Balancing a full-time job left no time for study.,5
65,359,715,Financial constraints,Couldn't afford tuition fees for reskilling.,5
66,359,715,No support system,No one to discuss career options with.,3
67,8,18,No support system,Felt isolated during the transition process.,5
68,8,18,Fear of failure,Fear of starting over held me back.,1
69,1163,2309,Lack of experience,Didn't meet job requirements in new field.,5
70,1163,2309,Lack of education,Missing degree was a major hurdle.,1
71,1020,2031,Time limitations,Balancing a full-time job left no time for study.,5
72,1020,2031,Lack of experience,Struggled to get interviews without domain experience.,4
73,615,1197,No support system,No one to discuss career options with.,2
74,615,1197,Lack of experience,Didn't meet job requirements in new field.,4
75,1288,2555,Mental health issues,Anxiety affected my ability to commit to change.,2
76,529,1038,Age-related bias,Concerned about competing with younger talent.,4
77,529,1038,Family responsibilities,Hard to relocate or change jobs with family needs.,1
78,1035,2061,Lack of education,Missing degree was a major hurdle.,5
79,321,642,Age-related bias,Felt overlooked due to being older than peers.,4
80,321,642,Fear of failure,Scared to leave a stable job for uncertainty.,1
81,579,1124,Time limitations,Transition delayed due to lack of free time.,2
82,711,1386,Lack of experience,Struggled to get interviews without domain experience.,4
83,1475,2923,Age-related bias,Hiring managers assumed I couldn't adapt.,4
84,1475,2923,Lack of education,Felt underqualified without a diploma in the new field.,2
85,994,1970,Lack of education,Felt underqualified without a diploma in the new field.,4
86,994,1970,Lack of experience,Rejected due to limited experience in tech.,1
87,1093,2172,Fear of failure,Worried about not succeeding in a new industry.,1
88,929,1830,Lack of education,Missing degree was a major hurdle.,4
89,988,1956,Financial constraints,Lost income made it hard to switch careers.,3
90,133,274,Financial constraints,Lost income made it hard to switch careers.,5
91,1212,2406,Family responsibilities,Family obligations delayed career transition.,5
92,962,1904,Family responsibilities,Couldn't attend evening courses due to childcare.,4
93,110,230,Mental health issues,Anxiety affected my ability to commit to change.,2
94,504,995,Lack of experience,Rejected due to limited experience in tech.,3
95,504,995,Lack of education,Missing degree was a major hurdle.,2
96,1069,2129,No support system,Felt isolated during the transition process.,3
97,10,23,Lack of experience,Rejected due to limited experience in tech.,3
98,1185,2349,Time limitations,Couldn't attend classes due to long work hours.,1
99,748,1462,Financial constraints,Cost of certification programs was too high.,2
100,1137,2259,Financial constraints,Cost of certification programs was too high.,1
101,692,1350,Mental health issues,Anxiety affected my ability to commit to change.,1
102,1010,2005,Family responsibilities,Family obligations delayed career transition.,4
103,1010,2005,Lack of experience,Rejected due to limited experience in tech.,5
104,348,696,Age-related bias,Felt overlooked due to being older than peers.,4
105,348,696,Lack of experience,Struggled to get interviews without domain experience.,1
106,659,1284,Time limitations,Transition delayed due to lack of free time.,5
107,594,1148,Time limitations,Balancing a full-time job left no time for study.,2
108,767,1502,No support system,Felt isolated during the transition process.,5
109,767,1502,Financial constraints,Couldn't afford tuition fees for reskilling.,3
110,1213,2407,Mental health issues,Depression impacted confidence to pursue a new career.,4
111,1213,2407,Fear of failure,Worried about not succeeding in a new industry.,1
112,1223,2429,Financial constraints,Cost of certification programs was too high.,5
113,1223,2429,Family responsibilities,Hard to relocate or change jobs with family needs.,3
114,108,226,No support system,Felt isolated during the transition process.,3
115,284,574,No support system,Lacked mentorship or guidance in new field.,5
116,1410,2792,Financial constraints,Couldn't afford tuition fees for reskilling.,3
117,1410,2792,Mental health issues,Anxiety affected my ability to commit to change.,3
118,1146,2272,Lack of experience,Struggled to get interviews without domain experience.,1
119,482,948,Mental health issues,Burnout made it hard to explore options.,3
120,1040,2072,No support system,Felt isolated during the transition process.,5
121,1040,2072,Fear of failure,Scared to leave a stable job for uncertainty.,3
122,1497,2969,Time limitations,Transition delayed due to lack of free time.,3
123,1497,2969,Mental health issues,Burnout made it hard to explore options.,5
124,1356,2680,No support system,No one to discuss career options with.,4
125,1136,2258,Lack of experience,Rejected due to limited experience in tech.,1
126,282,571,Fear of failure,Worried about not succeeding in a new industry.,3
127,282,571,Lack of education,Missing degree was a major hurdle.,5
128,603,1172,Financial constraints,Couldn't afford tuition fees for reskilling.,3
129,603,1172,Lack of experience,Didn't meet job requirements in new field.,5
130,839,1643,Lack of education,Didn't meet the education criteria for the new role.,4
131,391,774,Time limitations,Couldn't attend classes due to long work hours.,1
132,391,774,Mental health issues,Burnout made it hard to explore options.,5
133,997,1977,No support system,Lacked mentorship or guidance in new field.,1
134,1237,2459,Family responsibilities,Family obligations delayed career transition.,3
135,1237,2459,Time limitations,Transition delayed due to lack of free time.,3
136,1180,2339,Lack of education,Felt underqualified without a diploma in the new field.,4
137,1180,2339,Fear of failure,Fear of starting over held me back.,2
138,276,557,Lack of education,Missing degree was a major hurdle.,4
139,276,557,Family responsibilities,Hard to relocate or change jobs with family needs.,3
140,487,959,Lack of experience,Didn't meet job requirements in new field.,4
141,898,1765,Lack of experience,Struggled to get interviews without domain experience.,1
142,898,1765,Mental health issues,Depression impacted confidence to pursue a new career.,2
143,556,1079,No support system,No one to discuss career options with.,4
144,354,709,Family responsibilities,Couldn't attend evening courses due to childcare.,4
145,840,1645,Lack of experience,Didn't meet job requirements in new field.,5
146,1388,2744,Fear of failure,Worried about not succeeding in a new industry.,5
147,1388,2744,Lack of education,Didn't meet the education criteria for the new role.,5
148,157,320,Fear of failure,Worried about not succeeding in a new industry.,4
149,1397,2763,No support system,Lacked mentorship or guidance in new field.,4
150,1070,2131,No support system,Lacked mentorship or guidance in new field.,5
151,1070,2131,Fear of failure,Fear of starting over held me back.,5
152,545,1062,Lack of education,Didn't meet the education criteria for the new role.,4
153,722,1408,Lack of education,Missing degree was a major hurdle.,3
154,1387,2742,Lack of experience,Rejected due to limited experience in tech.,2
155,1387,2742,Lack of education,Missing degree was a major hurdle.,4
156,1028,2049,Age-related bias,Hiring managers assumed I couldn't adapt.,3
157,1028,2049,Fear of failure,Worried about not succeeding in a new industry.,2
158,283,572,No support system,Lacked mentorship or guidance in new field.,2
159,283,572,Lack of education,Missing degree was a major hurdle.,2
160,152,306,Financial constraints,Cost of certification programs was too high.,5
161,152,306,Age-related bias,Hiring managers assumed I couldn't adapt.,5
162,718,1401,Fear of failure,Scared to leave a stable job for uncertainty.,3
163,14,29,Family responsibilities,Hard to relocate or change jobs with family needs.,2
164,14,29,Time limitations,Couldn't attend classes due to long work hours.,5
165,178,357,No support system,Felt isolated during the transition process.,2
166,178,357,Time limitations,Couldn't attend classes due to long work hours.,4
167,21,45,Fear of failure,Scared to leave a stable job for uncertainty.,1
168,551,1072,Mental health issues,Depression impacted confidence to pursue a new career.,2
169,551,1072,No support system,Lacked mentorship or guidance in new field.,4
170,445,874,No support system,No one to discuss career options with.,2
171,445,874,Financial constraints,Couldn't afford tuition fees for reskilling.,1
172,1482,2940,Fear of failure,Scared to leave a stable job for uncertainty.,4
173,620,1207,Lack of education,Missing degree was a major hurdle.,3
174,704,1373,Mental health issues,Anxiety affected my ability to commit to change.,2
175,39,84,Fear of failure,Scared to leave a stable job for uncertainty.,2
176,39,84,Time limitations,Balancing a full-time job left no time for study.,2
177,920,1811,Time limitations,Balancing a full-time job left no time for study.,3
178,1166,2314,Age-related bias,Hiring managers assumed I couldn't adapt.,3
179,977,1932,Financial constraints,Couldn't afford tuition fees for reskilling.,4
180,641,1247,Fear of failure,Worried about not succeeding in a new industry.,1
181,679,1325,No support system,Lacked mentorship or guidance in new field.,2
182,679,1325,Financial constraints,Lost income made it hard to switch careers.,5
183,1401,2772,Family responsibilities,Family obligations delayed career transition.,3
184,1401,2772,No support system,No one to discuss career options with.,3
185,719,1403,Mental health issues,Anxiety affected my ability to commit to change.,4
186,719,1403,Age-related bias,Concerned about competing with younger talent.,5
187,1007,1998,Lack of experience,Struggled to get interviews without domain experience.,1
188,1007,1998,Lack of education,Felt underqualified without a diploma in the new field.,1
189,1043,2077,Financial constraints,Cost of certification programs was too high.,5
190,1043,2077,Mental health issues,Burnout made it hard to explore options.,3
191,495,978,Mental health issues,Anxiety affected my ability to commit to change.,2
192,79,162,Time limitations,Transition delayed due to lack of free time.,2
193,1255,2491,Lack of education,Missing degree was a major hurdle.,4
194,1255,2491,Age-related bias,Hiring managers assumed I couldn't adapt.,1
195,314,627,Lack of education,Felt underqualified without a diploma in the new field.,5
196,1452,2876,Age-related bias,Hiring managers assumed I couldn't adapt.,5
197,1488,2952,Fear of failure,Worried about not succeeding in a new industry.,3
198,407,801,Fear of failure,Fear of starting over held me back.,4
199,1063,2115,Time limitations,Balancing a full-time job left no time for study.,2
200,162,328,Mental health issues,Burnout made it hard to explore options.,2
201,162,328,Lack of education,Missing degree was a major hurdle.,1
202,1386,2741,Family responsibilities,Hard to relocate or change jobs with family needs.,3
203,1386,2741,Time limitations,Transition delayed due to lack of free time.,4
204,807,1586,Lack of experience,Didn't meet job requirements in new field.,2
205,559,1083,No support system,Lacked mentorship or guidance in new field.,3
206,361,721,Age-related bias,Concerned about competing with younger talent.,4
207,361,721,Financial constraints,Lost income made it hard to switch careers.,4
208,527,1035,Lack of education,Missing degree was a major hurdle.,2
209,527,1035,Family responsibilities,Couldn't attend evening courses due to childcare.,4
210,53,109,Age-related bias,Concerned about competing with younger talent.,3
211,1457,2886,Lack of education,Felt underqualified without a diploma in the new field.,5
212,222,451,Time limitations,Balancing a full-time job left no time for study.,3
213,581,1126,Time limitations,Transition delayed due to lack of free time.,2
214,1280,2539,Financial constraints,Cost of certification programs was too high.,3
215,1280,2539,Family responsibilities,Couldn't attend evening courses due to childcare.,1
216,769,1505,Mental health issues,Burnout made it hard to explore options.,5
217,1177,2336,Lack of experience,Didn't meet job requirements in new field.,4
218,119,248,Age-related bias,Concerned about competing with younger talent.,5
219,119,248,Lack of education,Didn't meet the education criteria for the new role.,1
220,419,825,Age-related bias,Concerned about competing with younger talent.,4
221,315,629,Age-related bias,Hiring managers assumed I couldn't adapt.,2
222,315,629,Time limitations,Transition delayed due to lack of free time.,3
223,558,1081,Age-related bias,Concerned about competing with younger talent.,1
224,209,422,Lack of experience,Didn't meet job requirements in new field.,1
225,819,1605,Fear of failure,Worried about not succeeding in a new industry.,5
226,824,1613,Mental health issues,Anxiety affected my ability to commit to change.,3
227,824,1613,Age-related bias,Concerned about competing with younger talent.,5
228,1214,2408,Lack of experience,Struggled to get interviews without domain experience.,4
229,1214,2408,Financial constraints,Couldn't afford tuition fees for reskilling.,1
230,731,1429,Time limitations,Balancing a full-time job left no time for study.,2
231,1217,2414,Financial constraints,Lost income made it hard to switch careers.,4
232,1217,2414,Lack of education,Felt underqualified without a diploma in the new field.,1
233,411,807,Mental health issues,Depression impacted confidence to pursue a new career.,4
234,411,807,Fear of failure,Scared to leave a stable job for uncertainty.,5
235,206,414,Family responsibilities,Couldn't attend evening courses due to childcare.,5
236,206,414,Mental health issues,Burnout made it hard to explore options.,5
237,1398,2765,Lack of experience,Didn't meet job requirements in new field.,4
238,181,362,Age-related bias,Hiring managers assumed I couldn't adapt.,4
239,181,362,No support system,No one to discuss career options with.,4
240,1009,2002,Mental health issues,Anxiety affected my ability to commit to change.,1
241,1009,2002,Lack of education,Felt underqualified without a diploma in the new field.,3
242,761,1490,Lack of experience,Struggled to get interviews without domain experience.,1
243,761,1490,Financial constraints,Couldn't afford tuition fees for reskilling.,4
244,1327,2626,Lack of education,Didn't meet the education criteria for the new role.,3
245,1354,2678,No support system,Felt isolated during the transition process.,1
246,670,1308,Fear of failure,Fear of starting over held me back.,1
247,439,867,Time limitations,Transition delayed due to lack of free time.,5
248,439,867,Lack of experience,Didn't meet job requirements in new field.,4
249,550,1070,Lack of experience,Rejected due to limited experience in tech.,4
250,255,515,Family responsibilities,Family obligations delayed career transition.,1
251,630,1227,Lack of experience,Didn't meet job requirements in new field.,1
252,630,1227,Lack of education,Didn't meet the education criteria for the new role.,1
253,1301,2577,Age-related bias,Concerned about competing with younger talent.,3
254,1301,2577,Fear of failure,Scared to leave a stable job for uncertainty.,3
255,260,524,Family responsibilities,Couldn't attend evening courses due to childcare.,3
256,260,524,Age-related bias,Felt overlooked due to being older than peers.,2
257,269,541,Time limitations,Transition delayed due to lack of free time.,4
258,914,1800,Lack of experience,Didn't meet job requirements in new field.,5
259,914,1800,Time limitations,Couldn't attend classes due to long work hours.,4
260,917,1806,No support system,No one to discuss career options with.,1
261,917,1806,Financial constraints,Couldn't afford tuition fees for reskilling.,5
262,1001,1984,Time limitations,Couldn't attend classes due to long work hours.,3
263,1461,2893,Mental health issues,Anxiety affected my ability to commit to change.,1
264,1461,2893,Lack of experience,Rejected due to limited experience in tech.,2
265,1349,2665,Time limitations,Couldn't attend classes due to long work hours.,3
266,1349,2665,Financial constraints,Couldn't afford tuition fees for reskilling.,1
267,1016,2020,Family responsibilities,Couldn't attend evening courses due to childcare.,2
268,1465,2898,Fear of failure,Worried about not succeeding in a new industry.,2
269,1066,2124,Time limitations,Balancing a full-time job left no time for study.,4
270,1066,2124,Age-related bias,Concerned about competing with younger talent.,5
271,516,1017,Financial constraints,Cost of certification programs was too high.,1
272,1073,2138,Lack of education,Didn't meet the education criteria for the new role.,2
273,1073,2138,Lack of experience,Didn't meet job requirements in new field.,1
274,1343,2652,No support system,Felt isolated during the transition process.,2
275,229,465,Fear of failure,Worried about not succeeding in a new industry.,3
276,474,934,Age-related bias,Concerned about competing with younger talent.,5
277,1209,2397,Time limitations,Balancing a full-time job left no time for study.,3
278,285,575,Lack of experience,Rejected due to limited experience in tech.,3
279,285,575,Lack of education,Missing degree was a major hurdle.,5
280,1048,2085,Time limitations,Balancing a full-time job left no time for study.,4
281,689,1344,Mental health issues,Depression impacted confidence to pursue a new career.,2
282,689,1344,Lack of experience,Struggled to get interviews without domain experience.,5
283,702,1369,Lack of experience,Struggled to get interviews without domain experience.,5
284,725,1415,Age-related bias,Felt overlooked due to being older than peers.,5
285,648,1261,Age-related bias,Hiring managers assumed I couldn't adapt.,3
286,648,1261,Financial constraints,Lost income made it hard to switch careers.,2
287,188,376,No support system,Lacked mentorship or guidance in new field.,5
288,42,91,Family responsibilities,Couldn't attend evening courses due to childcare.,3
289,42,91,Fear of failure,Scared to leave a stable job for uncertainty.,2
290,1293,2561,Age-related bias,Concerned about competing with younger talent.,3
291,1293,2561,Lack of education,Felt underqualified without a diploma in the new field.,5
292,1297,2568,Lack of education,Didn't meet the education criteria for the new role.,2
293,146,296,Fear of failure,Worried about not succeeding in a new industry.,1
294,146,296,Financial constraints,Lost income made it hard to switch careers.,5
295,1145,2271,Age-related bias,Hiring managers assumed I couldn't adapt.,1
296,1145,2271,Time limitations,Balancing a full-time job left no time for study.,2
297,785,1537,Family responsibilities,Family obligations delayed career transition.,5
298,785,1537,Mental health issues,Anxiety affected my ability to commit to change.,2
299,1265,2513,Lack of education,Missing degree was a major hurdle.,2
300,1265,2513,Financial constraints,Cost of certification programs was too high.,5
301,564,1093,Fear of failure,Worried about not succeeding in a new industry.,1
302,564,1093,Lack of experience,Didn't meet job requirements in new field.,1
303,497,983,Time limitations,Balancing a full-time job left no time for study.,3
304,135,278,Age-related bias,Hiring managers assumed I couldn't adapt.,3
305,492,972,Financial constraints,Lost income made it hard to switch careers.,1
306,492,972,Time limitations,Balancing a full-time job left no time for study.,3
307,246,500,Family responsibilities,Hard to relocate or change jobs with family needs.,4
308,246,500,Lack of experience,Didn't meet job requirements in new field.,5
309,113,236,Age-related bias,Hiring managers assumed I couldn't adapt.,3
310,1385,2739,Lack of education,Felt underqualified without a diploma in the new field.,1
311,1385,2739,Mental health issues,Anxiety affected my ability to commit to change.,4
312,647,1258,Age-related bias,Concerned about competing with younger talent.,1
313,647,1258,Lack of education,Felt underqualified without a diploma in the new field.,1
314,24,54,No support system,Lacked mentorship or guidance in new field.,4
315,24,54,Family responsibilities,Couldn't attend evening courses due to childcare.,2
316,1218,2417,Lack of experience,Rejected due to limited experience in tech.,3
317,537,1051,Mental health issues,Anxiety affected my ability to commit to change.,3
318,1181,2342,Financial constraints,Cost of certification programs was too high.,2
319,1181,2342,Mental health issues,Burnout made it hard to explore options.,5
320,1362,2689,Age-related bias,Felt overlooked due to being older than peers.,2
321,1438,2849,No support system,Lacked mentorship or guidance in new field.,4
322,1438,2849,Fear of failure,Worried about not succeeding in a new industry.,2
323,1085,2157,Age-related bias,Concerned about competing with younger talent.,5
324,71,143,Lack of experience,Struggled to get interviews without domain experience.,2
325,207,416,Fear of failure,Worried about not succeeding in a new industry.,4
326,207,416,Financial constraints,Couldn't afford tuition fees for reskilling.,2
327,1277,2534,Fear of failure,Fear of starting over held me back.,4
328,1075,2140,Age-related bias,Concerned about competing with younger talent.,4
329,1075,2140,Family responsibilities,Couldn't attend evening courses due to childcare.,5
330,532,1043,Lack of experience,Rejected due to limited experience in tech.,5
331,189,377,Financial constraints,Couldn't afford tuition fees for reskilling.,3
332,227,459,Time limitations,Balancing a full-time job left no time for study.,5
333,227,459,Financial constraints,Lost income made it hard to switch careers.,1
334,1436,2844,Lack of experience,Rejected due to limited experience in tech.,3
335,848,1662,Age-related bias,Concerned about competing with younger talent.,4
336,1302,2580,Lack of experience,Struggled to get interviews without domain experience.,5
337,538,1053,Financial constraints,Lost income made it hard to switch careers.,5
338,1200,2378,Lack of experience,Rejected due to limited experience in tech.,4
339,140,287,Time limitations,Couldn't attend classes due to long work hours.,1
340,1150,2283,No support system,Felt isolated during the transition process.,3
341,617,1202,Financial constraints,Lost income made it hard to switch careers.,4
342,617,1202,Family responsibilities,Couldn't attend evening courses due to childcare.,5
343,1334,2637,Time limitations,Transition delayed due to lack of free time.,1
344,413,810,Mental health issues,Anxiety affected my ability to commit to change.,3
345,413,810,Family responsibilities,Hard to relocate or change jobs with family needs.,2
346,703,1372,Fear of failure,Fear of starting over held me back.,1
347,1019,2029,Time limitations,Balancing a full-time job left no time for study.,1
348,205,411,Financial constraints,Cost of certification programs was too high.,4
349,205,411,Family responsibilities,Family obligations delayed career transition.,2
350,650,1263,Financial constraints,Couldn't afford tuition fees for reskilling.,5
351,1342,2651,Fear of failure,Fear of starting over held me back.,2
352,1342,2651,Lack of education,Missing degree was a major hurdle.,5
353,658,1281,Family responsibilities,Family obligations delayed career transition.,5
354,658,1281,Lack of experience,Struggled to get interviews without domain experience.,2
355,70,142,No support system,Lacked mentorship or guidance in new field.,5
356,729,1424,Family responsibilities,Couldn't attend evening courses due to childcare.,4
357,729,1424,Fear of failure,Worried about not succeeding in a new industry.,2
358,783,1535,Fear of failure,Fear of starting over held me back.,5
359,783,1535,Mental health issues,Anxiety affected my ability to commit to change.,2
360,496,980,Financial constraints,Cost of certification programs was too high.,4
361,496,980,Time limitations,Transition delayed due to lack of free time.,2
362,1222,2426,Age-related bias,Concerned about competing with younger talent.,5
363,938,1849,Family responsibilities,Couldn't attend evening courses due to childcare.,1
364,938,1849,No support system,No one to discuss career options with.,1
365,1481,2937,Family responsibilities,Family obligations delayed career transition.,3
366,1481,2937,Time limitations,Transition delayed due to lack of free time.,4
367,632,1231,Family responsibilities,Couldn't attend evening courses due to childcare.,4
368,1335,2639,Lack of experience,Didn't meet job requirements in new field.,4
369,429,847,Mental health issues,Burnout made it hard to explore options.,3
370,429,847,Time limitations,Couldn't attend classes due to long work hours.,4
371,1139,2261,Mental health issues,Burnout made it hard to explore options.,3
372,1139,2261,Lack of experience,Rejected due to limited experience in tech.,4
373,808,1587,Family responsibilities,Family obligations delayed career transition.,3
374,173,349,Time limitations,Couldn't attend classes due to long work hours.,5
375,173,349,Lack of education,Didn't meet the education criteria for the new role.,5
376,1341,2650,Family responsibilities,Family obligations delayed career transition.,4
377,1341,2650,Lack of experience,Didn't meet job requirements in new field.,5
378,1081,2150,Financial constraints,Couldn't afford tuition fees for reskilling.,5
379,1081,2150,Time limitations,Couldn't attend classes due to long work hours.,3
380,378,752,Fear of failure,Fear of starting over held me back.,4
381,479,944,Lack of experience,Didn't meet job requirements in new field.,4
382,801,1576,Lack of experience,Struggled to get interviews without domain experience.,4
383,117,244,Time limitations,Transition delayed due to lack of free time.,4
384,117,244,Mental health issues,Anxiety affected my ability to commit to change.,2
385,48,100,Family responsibilities,Family obligations delayed career transition.,2
386,48,100,Lack of experience,Struggled to get interviews without domain experience.,3
387,843,1652,Financial constraints,Lost income made it hard to switch careers.,3
388,843,1652,Lack of experience,Didn't meet job requirements in new field.,4
389,1162,2308,Financial constraints,Lost income made it hard to switch careers.,5
390,387,769,Mental health issues,Depression impacted confidence to pursue a new career.,4
391,387,769,Time limitations,Balancing a full-time job left no time for study.,2
392,1403,2775,Lack of education,Didn't meet the education criteria for the new role.,1
393,1403,2775,Mental health issues,Depression impacted confidence to pursue a new career.,4
394,1149,2281,Age-related bias,Concerned about competing with younger talent.,5
395,371,738,Financial constraints,Cost of certification programs was too high.,2
396,872,1715,Age-related bias,Concerned about competing with younger talent.,2
397,266,536,Age-related bias,Felt overlooked due to being older than peers.,5
398,1015,2017,Financial constraints,Lost income made it hard to switch careers.,1
399,1015,2017,Age-related bias,Hiring managers assumed I couldn't adapt.,1
400,1191,2361,Age-related bias,Hiring managers assumed I couldn't adapt.,2
401,1131,2249,Family responsibilities,Hard to relocate or change jobs with family needs.,2
402,1131,2249,No support system,No one to discuss career options with.,4
403,947,1869,Time limitations,Couldn't attend classes due to long work hours.,3
404,1211,2403,Mental health issues,Burnout made it hard to explore options.,2
405,1071,2134,Financial constraints,Cost of certification programs was too high.,3
406,779,1525,Family responsibilities,Hard to relocate or change jobs with family needs.,4
407,779,1525,Lack of education,Felt underqualified without a diploma in the new field.,4
408,1416,2805,Fear of failure,Fear of starting over held me back.,5
409,1396,2762,Time limitations,Transition delayed due to lack of free time.,5
410,432,853,Lack of experience,Didn't meet job requirements in new field.,5
411,817,1601,Mental health issues,Burnout made it hard to explore options.,3
412,1367,2699,Lack of experience,Didn't meet job requirements in new field.,5
413,1367,2699,Family responsibilities,Hard to relocate or change jobs with family needs.,2
414,765,1498,Time limitations,Couldn't attend classes due to long work hours.,2
415,1196,2371,Time limitations,Balancing a full-time job left no time for study.,3
416,1196,2371,Financial constraints,Couldn't afford tuition fees for reskilling.,3
417,1423,2818,Fear of failure,Scared to leave a stable job for uncertainty.,5
418,1423,2818,Lack of experience,Didn't meet job requirements in new field.,3
419,867,1706,Mental health issues,Burnout made it hard to explore options.,2
420,867,1706,Financial constraints,Couldn't afford tuition fees for reskilling.,2
421,1204,2386,Financial constraints,Couldn't afford tuition fees for reskilling.,5
422,1204,2386,Fear of failure,Worried about not succeeding in a new industry.,1
423,89,186,No support system,Lacked mentorship or guidance in new field.,1
424,15,31,Mental health issues,Anxiety affected my ability to commit to change.,3
425,1226,2435,Lack of education,Didn't meet the education criteria for the new role.,3
426,1226,2435,Family responsibilities,Couldn't attend evening courses due to childcare.,3
427,77,158,No support system,No one to discuss career options with.,3
428,546,1064,Time limitations,Transition delayed due to lack of free time.,3
429,546,1064,Lack of experience,Rejected due to limited experience in tech.,5
430,98,206,Financial constraints,Lost income made it hard to switch careers.,5
431,944,1861,No support system,Lacked mentorship or guidance in new field.,3
432,577,1120,Financial constraints,Cost of certification programs was too high.,3
433,234,476,No support system,No one to discuss career options with.,2
434,234,476,Family responsibilities,Family obligations delayed career transition.,3
435,614,1195,Financial constraints,Cost of certification programs was too high.,5
436,614,1195,Age-related bias,Felt overlooked due to being older than peers.,3
437,1060,2109,Lack of education,Felt underqualified without a diploma in the new field.,5
438,1113,2214,Age-related bias,Hiring managers assumed I couldn't adapt.,2
439,300,601,Mental health issues,Depression impacted confidence to pursue a new career.,2
440,996,1974,Lack of education,Didn't meet the education criteria for the new role.,5
441,1175,2333,Fear of failure,Fear of starting over held me back.,3
442,1175,2333,Age-related bias,Hiring managers assumed I couldn't adapt.,2
443,476,940,No support system,Felt isolated during the transition process.,5
